word,definition,translation
Habdalah,,"n. (犹太教的)安息日(或节日)结束仪式, 安息日(或节目)结束仪式上的祈祷文"
habe,,abbr. habeas corpus 人身保护
habeas corpora juratorum,,[法] 强迫陪审员到庭令
habeas corpus," A writ having for its object to bring a party before a\n   court or judge; especially, one to inquire into the cause of a person's\n   imprisonment or detention by another, with the view to protect the\n   right to personal liberty; also, one to bring a prisoner into court to\n   testify in a pending trial.","人身保护权, 人身保护令\n[法] 人身保护令状, 人身保护法"
habeas corpus act,,[法] 人身保护法
habeas corpus writ,,[法] 人身保护令状
habecker,, [人名] 哈贝克
habel,, [人名] 哈贝尔
haben,,哈本
habena,,"[医] 缰, 系带"
habenal,,"[医] 缰的, 系带的"
Habenaria,,[网络] 哈本尼亚
Habenaria elegans,,[网络] 哈巴尼亚线虫
Habenaria leucophaea,,[网络] 哈巴尼亚白僵菌
Habenaria psycodes,,[网络] 哈本氏菌
Habenaria sagittifera,,[医] 箭形鹭兰
Habenaria Willd.,,[医] 玉凤花属
habendum,"n. That part of a deed which follows the part called the\n   premises, and determines the extent of the interest or estate granted;\n   -- so called because it begins with the word Habendum.","[法] 契据的物权条款, 物权契约中的转让条款"
habenula,,"n. [解]缰,系带, 松果体缰"
habenula arcuata,,[医] 弓状系带(耳蜗)
habenula conarii,,[医] 松果体缰
habenula pectinata,,[医] 梳状系带
habenula perforata,,[医] 神经孔
habenula urethralis,,[医] 尿道系带(女)
habenular,,"[医] 缰的, 系带的, 松果体缰的"
habenular bodigs,,[医] 缰核
habenular striae,,"[医] 缰纹, 丘脑髓纹"
habenular tract,,[医] 缰核束
habenulopeduncular tract,,"[医] 缰核脚间束, 后屈束"
haber,n. German chemist noted for the synthetic production of ammonia from the nitrogen in air (1868-1934),n. 哈伯（姓氏）
Haber process,,[化] 哈柏法
Haber-Bosch process,,[机] 哈伯-波希制氨法
haberdash,v. i. To deal in small wares.,"vt.<美>做(衣服),设计(衣服)"
haberdasher,n a merchant who sells men's clothing,"n. 男子服饰经售商, 杂货商人"
haberdasheries,plural of haberdashery\nn. the drygoods sold by a haberdasher,"(haberdashery 的复数) n. 男子服饰经售店, 杂货商店"
haberdashers,n. a merchant who sells men's clothing,"n. 男子服饰经销商, 缝纫用品商人( haberdasher的复数形式 )"
haberdashery,n. the drygoods sold by a haberdasher,"n. 男子服饰经售店, 杂货商店"
haberdashery store,,[网络] 小商店
habere facias possessionem,,[法] 收回土地占有令
habere facias seisinam,,[法] 恢复自由保有土地依法占有
habergeon,n (Middle Ages) a light sleeveless coat of chain mail worn under the hauberk,"n. 中世纪的高领无袖短铠甲, 一件衣服(=hauberk)"
haberle,, [人名] 哈伯尔
haberler,, [人名] 哈伯勒
haberman,, [人名] 哈伯曼
habermann,, [人名] 哈伯曼
Habermann's disease,,[医] 哈伯曼氏病(急性痘状苔癣样糠疹)
habermehl,, [人名] 哈伯梅尔
habersham,, [人名] [英格兰人姓氏] 哈伯沙姆职业名称，锁子甲制作者，来源于中世纪英语及古法语，含义是“锁子甲”(coat of mail); [地名] [美国] 哈伯舍姆
habershon,, [人名] 哈伯申
habershons,plural of habershon,(habershon 的复数)  [人名] 哈伯申
haberstroh,, [人名] 哈伯斯特罗
habes,-s form of habe,(habe 的第三人称 -s形式) abbr. habeas corpus 人身保护
habeshaw,, [人名] 哈伯肖
habib,,"n. 哈比卜（银行名, 阿拉伯地区的男子名）"
Habibie,,n. (Habibie)人名；(印尼)哈比比
habicht,, [人名] 哈比希特; [地名] [奥地利] 哈比希特山
habijabi,,乱麻
habilatory,a. Of or pertaining to clothing; wearing clothes.,"a. 服饰的, 衣服的"
habile,"a. Fit; qualified; also, apt.","a. (书面)能干的, 熟练的"
habili,,n. 服装
habiliment,n a covering designed to be worn on a person's body,"n. 衣服, 服装, 装饰, 装备"
habilimentation,,"n. 服装, 衣服"
habilimented,s dressed or clothed especially in fine attire; often used in combination,"a. 穿着服装的, 衣着整齐的"
habiliments,, n.服装；衣着
habilitate,v. qualify for teaching at a university in Europe,"vt. 提供周转资金, 给...穿着, 使...具有能力\nvi. 取得任职资格"
habilitated,v qualify for teaching at a university in Europe\nv provide with clothes or put clothes on,"v. 提供周转资金, 予以穿着, 取得资格( habilitate的过去式和过去分词 )"
habilitates,v qualify for teaching at a university in Europe\nv provide with clothes or put clothes on,"v. 提供周转资金, 予以穿着, 取得资格( habilitate的第三人称单数 )"
habilitating,v qualify for teaching at a university in Europe\nv provide with clothes or put clothes on,"v. 提供周转资金, 予以穿着, 取得资格( habilitate的现在分词 )"
habilitation,n. Equipment; qualification.,n. 教授论文；资格；小儿康复
habit,n. an established custom\nn. (psychology) an automatic pattern of behavior in reaction to a specific situation; may be inherited or acquired through frequent repetition\nn. a distinctive attire worn by a member of a religious order\nn. the general form or mode of growth (especially of a plant or crystal),"n. 习惯, 嗜好, 习性\nvt. 使穿衣"
habit and repute,,[法] 公认的习俗婚姻
habit chorea,,"[医] 习惯性舞蹈病, 抽搐"
habit disease,,[医] 习惯[性]病
Habit is the second nature,,习惯成自然
habit neurosis,,[医] 习惯性神经机能病
habit of body,,[医] 体型
habit of mind,,"心情,心境"
habit scoliosis,,[医] 习惯性脊柱侧凸
habit spasm,,[医] 习惯性痉挛
habit tic,,"[医] 习惯性抽搐, 习惯性痉挛"
habit-forming,a causing or characterized by addiction,"a. 易成习惯性的, 易上瘾的"
habit-forming drugs,,[医] 成瘾药
habitability,n. suitability for living in or on,"n. 可居住性, 适于居住"
habitable,s. fit for habitation,"a. 适于居住的, 可居住的"
habitableness,n suitability for living in or on,"n. 可居住性, 适于居住"
habitably,,adv. 可居住地;适于居住地
habitacle,,n. <废>壁龛
habitan,"n. Same as Habitant, 2.",n. (加拿大或美国路易斯安那州的)法裔农民
habitancy,,"n. 居住, 居民"
habitant,n a person who inhabits a particular place,"n. 居住者, 居民"
habitants,,n. 居住者( habitant的名词复数 )
habitat,n. the type of environment in which an organism or group normally lives or occurs,"n. 栖息地, 居留地, 自生地, 聚集处\n[医] 习生地, 产地, 生境, 栖所"
habitatio,,[法] 居住权
habitation,n. the native habitat or home of an animal or plant,"n. 居住, 住所"
habitations,n. the native habitat or home of an animal or plant\nn. housing that someone is living in\nn. the act of dwelling in or living permanently in a place (said of both animals and men),"n. 居住( habitation的复数形式 ); 住宅, 家"
habitats,n. the type of environment in which an organism or group normally lives or occurs,"n. （动物的）栖息地, 住处( habitat的复数形式 )"
habited,v put a habit on\ns dressed in a habit,"a. 穿着衣服的, 穿着法衣的"
habiting,p. pr. & vb. n. of Habit,vt. 给…穿衣服（habit的现在分词形式）
habitmaker,,n. 女用骑马装的裁缝师
habits,n an established custom\nn (psychology) an automatic pattern of behavior in reaction to a specific situation; may be inherited or acquired through frequent repetition\nn a distinctive attire worn by a member of a religious order\nn the general form or mode of growth (especially of a plant or crystal)\nn attire that is typically worn by a horseback rider (especially a woman's attire)\nn excessive use of drugs\nv put a habit on,n. 习性；习惯（habit的复数）
habitual,s commonly used or practiced; usual,"a. 习惯的, 惯常的, 平常的\n[法] 习惯的, 以习惯为常业的, 惯常的"
habitual abortion,,[医] 习惯性流产
habitual criminal,,"[法] 惯犯, 累犯"
habitual dislocation,,[医] 习惯性脱位
habitual drunkard,,"[法] 酒徒, 经常酗酒者, 一贯酗酒"
habitual drunkard act,,[法] 酒徒处置法
habitual loafer,,"[法] 一贯游手好闲, 无业游民"
habitual offence,,[法] 惯犯
habitual premature labor,,[医] 习惯性早产
habitual residence,,[经] 通常住址
habitual robber,,"[法] 惯盗, 老抢劫犯"
habitual thievery,,[法] 惯窃
habitually,r. according to habit or custom,"adv. 习惯(性), 惯常, 习以为常, 出于习惯, 已成规则"
habitualness,,n. habitual（习惯性的）的变形
habituate,v. make psychologically or physically used (to something),"vt. 使习惯于, 使熟习于"
habituate oneself to,,使习惯于
habituated,v take or consume (regularly or habitually)\nv make psychologically or physically used (to something),v. 使习惯于( habituate的过去式和过去分词 )
habituates,v take or consume (regularly or habitually)\nv make psychologically or physically used (to something),v. 使习惯于( habituate的第三人称单数 )
habituating,p. pr. & vb. n. of Habituate,v. 使习惯于( habituate的现在分词 )
habituation,n. a general accommodation to unchanging environmental conditions,"n. 使习惯, 习惯, 熟习\n[医] 习惯[作用], 习惯化, 成瘾"
habitude,n. habitual mode of behavior,"n. 习俗, 习惯"
habitudes,plural of habitude\nn. habitual mode of behavior,"(habitude 的复数) n. 习俗, 习惯"
habitue,n a regular patron,n. 常客；有毒瘾的人
habitues,plural of habitue\nn a regular patron,(habitue 的复数) n. 常客；有毒瘾的人
habitus,n. person's predisposition to be affected by something (as a disease),"n. 习惯, 体质\n[医] 体型, 型"
habitus adenoideus,,[医] 腺样增殖体型
habitus apoplecticus,,"[医] 中风体型, 卒中体型"
habitus arthriticus,,[医] 关节炎体型
habitus asthenicus,,"[医] 无力体型, 虚弱体型"
habitus enteroptoticus,,[医] 肠下垂体型
habitus index,,[医] 体型指数
habitus infantilis,,[医] 幼稚[性体]型
habitus paralyticus,,[医] 麻痹体型
habitus phthisicus,,[医] [肺]结核体型
habitus plethoricus,,[医] 多血[性体]型
habitus scrofulosus,,[医] 瘰疬体型
Hablot Knight Browne,,[网络] Hablot骑士布朗
haboob,,n. (发生在非洲北部或印度的)哈布沙暴(或尘暴)
habotai,,电力纺
habrication tolerance,,[电] 构造忍受
habromania,,[医] 欣快狂
Habronema,,[医] 丽线虫属
habronemiasis,,[医] 丽线虫病
habronemic,,[医] 丽线虫的
habs,plural of hab,(hab 的复数) abbr. 航空托运单（house air bill）；始位地址块（Home Address Block）
Habsburg,n. a royal German family that provided rulers for several European states and wore the crown of the Holy Roman Empire from 1440 to 1806,n. (=Hapsburg)哈普斯堡皇室
habu,,n. [动]响尾蛇属毒蛇(产于琉球群岛及其附近地区)
habutai,,n. [纺](日本的)全丝薄软绸
hac,,"abbr. high acceleration cockpit 能迅速加速的飞机; high-alumina cement 高铝水泥, 矾土水泥"
hacc,,abbr. high alumina cement concrete 高铝水泥混凝土
haccp,,abbr. 危害分析和关键环节控制点（Hazard Analysis and Critical Control Point）
hace,,abbr. 高海拔脑水肿（High Altitude Cerebral Edema）
hacek,,n. 变音符号（∨）
hacendado,,n. 庄园或农场等的主人
hacha,, 海畅
hachement,,[医] 掌缘击法
Hachette,,n. (Hachette)人名；(法)阿谢特
hachey,, [人名] 哈奇
hachi,,n. (Hachi)人名；(索)哈希
Hachiman,,[网络] 八幡；八幡神社；八幡神
hachimycin,,[化] 曲古霉素; 抗滴虫霉素
hachure,n shading consisting of multiple crossing lines,n. (在地图上用于指示地面倾斜的)晕滃(线) 
hachures,n. shading consisting of multiple crossing lines,n. 细线;线影
hacienda,n. a large estate in Spanish-speaking countries\nn. the main house on a ranch or large estate,n. 大庄园
haciendado,,n. 庄园或农场等的主人
haciendas,plural of hacienda\nn. a large estate in Spanish-speaking countries\nn. the main house on a ranch or large estate,(hacienda 的复数) n. 大庄园
hack,n. one who works hard at boring tasks\nn. a mediocre and disdained writer\nn. a tool (as a hoe or pick or mattock) used for breaking up the surface of the soil\nn. an old or over-worked horse,"n. 劈, 砍, 砍痕, 出租车, 干咳, 晒架, 鹤嘴锄\nvt. 劈, 砍, 出租, 用旧\nvi. 劈, 砍, 干咳, 驾驶出租车\na. 出租的"
hack around,,"闲逛, 虚度光阴"
hack boat,,[网络] 黑客船
hack driver,,[网络] 黑客司机
hack it,, 容忍
hack job,,[网络] 黑客工作
hack on,,[网络] 黑客
hack saw,,[机] 弓锯
hack writer,, 受人雇用的穷文人，替人家写打杂文章的落魄文人
hack-a-shaq,, 砍鲨战术
hack-driver,,[网络] 黑客司机
hack-sawing machine,,[机] 弓锯机
hackability,,[网络] 可编程性；能被黑客度；可修改性
hackable,,[网络] 可控制；可攻击的；可编程
hackamore,"n rope or canvas headgear for a horse, with a rope for leading",n. 驯马笼头
hackathon,,[网络] 黑客马拉松；黑客松；骇客马拉松
hackberries,,n. 朴属植物，朴树木，朴树果( hackberry的名词复数 )
hackberry,n. any of various trees of the genus Celtis having inconspicuous flowers and small berrylike fruits,"n. 朴树, 朴树果, 朴树材"
hackbrett,,[网络] 海克布里；大洋琴；砍琴
hackbut,n an obsolete firearm with a long barrel,"n. (=hagbut)一种老式手枪, 火绳枪"
hackbut of crochet,,[网络] 钩针钩
hackbuteer,,"n. (=hackbutter)火枪手,火绳枪射手"
hackdom,,[网络] 黑客圈
hacked,v cut with a hacking tool\nv be able to manage or manage successfully\nv cut away\nv kick on the arms\nv kick on the shins\nv fix a computer program piecemeal until it works\nv significantly cut up a manuscript\nv cough spasmodically,生气
hacked off,, <非正>不快的
hackee,,[网络] 黑客
hackel,, [人名] 哈克尔
Hackelia,,[网络] 假鹤虱属
hackenberg,, [人名] 哈肯伯格
Hackenbruch's experience,,[医] 哈肯布鲁赫氏经验(注射局部麻醉剂的麻醉区域呈菱形)
hackensack,,n. 哈肯萨克河（位于美国）；哈肯萨克市（美国城市名）
hacker,n. someone who plays golf poorly\nn. a programmer who breaks into computer systems in order to steal or change or destroy information as a form of cyber-terrorism\nn. a programmer for whom computing is its own reward; may enjoy the challenge of breaking into other computers but does no harm,"[计] 计算机窃贼, 计算机新技术挑战者, 黑客"
hacker ethic,,"[计] 开发者宗旨, 开拓者信条"
hackers,n someone who plays golf poorly\nn a programmer who breaks into computer systems in order to steal or change or destroy information as a form of cyber-terrorism\nn a programmer for whom computing is its own reward; may enjoy the challenge of breaking into other computers but does no harm\nn one who works hard at boring tasks,"n. 黑客, 骇客；电脑黑客（hacker的复数）"
hackery,"n. A cart with wooden wheels, drawn by bullocks.",n. <印>两轮牛车
hacket,,木工用斧
Hackett,,n. (Hackett)人名；(英、瑞典)哈克特
hackette,,n. [戏谑语、贬义]女记者
hackettes,plural of hackette,(hackette 的复数) n. [戏谑语、贬义]女记者
hackettstown,, [地名] [美国] 哈基茨敦
hackfest,"Any event centered around programming and the rapid development of code over many consecutive hours, sometimes days. Hackfests are akin to LAN parties, all-nighters, weekend benders, etc, but deal specifically with programming. Some hackfests have themes involving specific programming languages, projects, or locations.\n> Agbar won't be able to make it to your birthday party, he's at a hackfest and they're not leaving until they develop a program to measure the number of bleeps in an episode of South Park.\n",
hackford,, [人名] 哈克福德
hackhammer,,"n. (修琢石头用的)劈石斧,斧形锤"
hackia,,破斧木
hackie,,n. 出租汽车司机
hacking,v cut with a hacking tool\nv be able to manage or manage successfully\nv cut away\nv kick on the arms\nv kick on the shins\nv fix a computer program piecemeal until it works\nv significantly cut up a manuscript\nv cough spasmodically,"[计] 程序""挖口""不轨用机"
hacking cough,,[医] 频咳
hacking jacket,,n. 粗呢制骑马外套; 骑装上衣
hacking the pie,,[法] 分红会议
hackish,"1. n. The language a hacker may speak, such as [leet].\r\n2. adj. Relating to hackers\n> 1. [w00t] is a Hackish exclamation for 'excellent' or 'yay'.\n> 2. ""I have a hackish web site full of JavaScript to screw up your system.""\n",
hackit,,[网络] 黄金翅膀
hackl,, [人名] 哈克尔
hackle,n. long slender feather on the necks of e.g. turkeys and pheasants,"vt. 梳理, 乱砍\nn. 锯齿形裂痕, 针排, 颈羽"
hackleback,,n. = shovelnose sturgeon
hackled,imp. & p. p. of Hackle,"v. 梳理, 乱砍( hackle的过去式和过去分词 )"
hackler,,n. 梳麻的人
hackles,n a feeling of anger and animosity\nn long slender feather on the necks of e.g. turkeys and pheasants\nv comb with a heckle,n. 狗颈部的毛（hackle的复数）
hackley,, [人名] 哈克利
hackling,p. pr. & vb. n. of Hackle,"n. <非正>年轻的记者\nv. 梳理, 乱砍( hackle的现在分词 )"
hackly,"a. Rough or broken, as if hacked.\na. Having fine, short, and sharp points on the surface; as,\n   the hackly fracture of metallic iron.","a. 粗糙的, 锯齿形的, 参差不齐的"
hackman,n. The driver of a hack or carriage for public hire.,"n. 出租马车夫, 出租车司机"
hackmanite,,n. [矿]紫方钠石
hackmarack,,北美落叶松
hackmatack,n poplar of northeastern North America with broad heart-shaped leaves,"n. [植]杜松,落叶松之一种(=tamarack)"
hackmen,pl.  of Hackman,"n. <美>出租汽车司机, 出租马车车夫( hackman的名词复数 )"
hackney,n. a carriage for hire\nn. a compact breed of harness horse,"n. 乘用马, 出租马车\nvt. 出租, 役使, 过于频繁使用\na. 出租的, 陈腐的"
hackney cab,,出租汽车
hackney carriage,,"[经] 供雇用车辆, 运输服务车辆"
hackney coach,,出租马车
hackneyed,s repeated too often; overfamiliar through overuse,"a. 使用过于频繁的, 常见的, 陈腐的"
hackneying,p. pr. & vb. n. of Hackney,n. 乘用马；出租马车；出租汽车；操贱役的人\nvt. 役使；出租\na. 供出租的\nn. (Hackney)人名；(英)哈克尼
hackneys,pl.  of Hackney,"n. 乘用马, 出租马车, 操贱役的人( hackney的名词复数 )"
hacks,n one who works hard at boring tasks\nn a politician who belongs to a small clique that controls a political party for private rather than public ends\nn a mediocre and disdained writer\nn a tool (as a hoe or pick or mattock) used for breaking up the surface of the soil\nn a car driven by a person whose job is to take passengers where they want to go in exchange for money\nn an old or over-worked horse\nn a horse kept for hire\nn a saddle horse used for transportation rather than sport etc.\nv cut with a hacking tool\nv be able to manage or manage successfully\nv cut away\nv kick on the arms\nv kick on the shins\nv fix a computer program piecemeal until it works\nv significantly cut up a manuscript\nv cough spasmodically,"n. 骑用马( hack的名词复数 ); 用靴头踢\nv. 劈, 砍( hack的第三人称单数 ); 狠踢, 乱踢; 能╱不能应付（某情形）; （以普通速度）骑马"
hacksaw,n. saw used with one hand for cutting metal,"n. 弓锯, 钢锯\n[化] 弓锯"
hacksaw blade,,[机] 弓锯条
hacksawed,past participle of hacksaw\nn. saw used with one hand for cutting metal,"(hacksaw 的过去分词) n. 弓锯, 钢锯\n[化] 弓锯"
hacksawing,-ing form of hacksaw\nn. saw used with one hand for cutting metal,"(hacksaw 的现在分词) n. 弓锯, 钢锯\n[化] 弓锯"
hacksawing machine,,"[机] 弓锯机, 锯铁机"
hacksaws,n. saw used with one hand for cutting metal,"n. 可锯金属的弓形锯, 钢锯( hacksaw的复数形式 )"
hacksilver,,[网络] 黑色
hackwork,n professional work done according to formula,n. 粗劣文学作品
hackworth,, [人名] 哈克沃思
hacky,,n. 出租汽车司机
hacs,plural of hac,"(hac 的复数) abbr. high acceleration cockpit 能迅速加速的飞机; high-alumina cement 高铝水泥, 矾土水泥"
hacteriotoxemia,,[医] 细菌毒血症
had,"v have or possess, either in a concrete or an abstract sense\nv have as a feature\nv go through (mental or physical states or experiences)\nv have ownership or possession of\nv cause to move; cause to be in a certain position or condition\nv serve oneself to, or consume regularly\nv have a personal or business relationship with someone\nv organize or be responsible for\nv have left\nv be confronted with\nv undergo\nv suffer from; be ill with\nv cause to do; cause to act in a specified manner\nv receive willingly something given or offered\nv get something; come into possession of\nv undergo (as of injuries and illnesses)\nv achieve a point or goal\nv cause to be born\nv have sex with; archaic use",have的过去式和过去分词
had as good do sth,,"倒不如做…;还是做…好,最好"
had as lief,,宁可做某事
had as well do sth,,"倒不如做…;还是做…好,最好"
had batter,,最好
had best,,最好
had better,,最好
Had crime,,[网络] 有犯罪
had like to,,"差不多,几乎…"
had like to have done,,差点儿就要做了
had need,,"应该, 必须"
had need to do sth,,"应当,应该做某事"
had rather,,"宁愿,宁肯…"
had rather...than,,"与其...不如..., 宁愿...不愿..."
had to,,v. 必须\n[网络] 不得不；过去式；必须要
hada,,abbr. Hawaiian Defense Area <美国>夏威夷防空区
hadacidin,,[化] 杀腺癌菌素; N-羟-N-甲酰甘氨酸
Hadad,,n. (Hadad)人名；(阿拉伯)哈达德
hadal,a relating to the deepest parts of the ocean (below 6000 meters),"a. 超深渊的,离海面6000米以上深水中的"
Hadamard kernel,,[计] 哈达马德核
Hadamard transform matrix,,[计] 哈达马德变换矩阵
Hadamard transform spectroscopy,,[化] 哈达马变换光谱
Hadamard transformation,,[计] 哈达马德变换
hadar,, [人名] 哈达; [地名] [叙利亚] 哈代尔; [地名] [美国] 黑达
hadas,, [人名] 哈达斯
hadassah,, [人名] 哈达萨
hadaway,,int. <英方>快干!抓紧干!
hadda,,n. 哈达（阿富汗喀布尔河流域一地区）
haddad,,n. (Haddad)人名；(法、西)阿达；(塞、瑞典、阿拉伯、英)哈达德
haddam,, [地名] [美国] 哈达姆
haddan,, [人名] 哈丹
Hadden,,n. (Hadden)人名；(英)哈登
