word,definition,translation
d-marks,plural of d-mark,(d-mark 的复数) 德国马克
d-md,, [医][=d-methyldopa]d-甲基多巴
d-n,, [医]dextrose nitrogen ratio 葡萄糖氮比率，糖氮比率
D-N ratio,,"[医] 糖氮比率, D-N比率"
d-notice,,n. （英国的）国防机密通知
d-notices,plural of d-notice,(d-notice 的复数) n. （英国的）国防机密通知
d-pa,, [医][=D-penicillamine]D-青霉胺
d-penicillamine,, [医]青霉胺，D-青霉胺，二甲基半胱氨酸[重金属中毒解毒药]
D-penicillamine hydrochloride,,[化] 盐酸D-青霉胺
d-piscose,,[建] 阿洛酮糖
d-pseudoephedrine,,[化] d-假麻黄碱
D-psicose,,[化] D-阿洛酮糖
d-quercitol,,[化] 栎醇; 槲皮醇; 环己五醇
d-ram,,n. 带有动态随机存取存储器的芯片; 动态随机存取存储器
D-reactive dye,,[化] D型反应染料
D-reactive dyes,,[化] D型反应染料
d-region,,[电] D区
d-ribo-2-ketohexose,,[建] 阿洛酮糖
D-ribose,,[化] D-核糖\n[医] 核糖
D-ribose-5-phosphoric acid,,[化] D-核糖-5-磷酸
D-ribulose,,[化] D-核酮糖
d-ring,,abbr. capital-D-shaped ring 形状同大写字母D的环
d-rings,plural of d-ring,(d-ring 的复数) abbr. capital-D-shaped ring 形状同大写字母D的环
d-scope,,[电] D镜
D-sphinganine,,[化] 二氢鞘氨醇
D-structure,,深层结构
d-t,, [医][=deuterium-tritium reaction]氘-氚反应
d-trachelanthamidine,,[化] 毒豆碱
d-usnic acid,,[化] 右旋地衣酸
d-usninic acid,,[化] 右旋地衣酸
d-vhs,,abbr. digital video home system 数字家用视频系统，数字式家用录放像机
D. A. H.,,[医] 神经性循环衰竭
D. B.,,[医] 远中颊的
D. B. P.,,[医] 远中颊髓的
D. C.,,"[医] 直电流, 远中颈的, 按摩医师"
D. C. T.,,"[医] 双氢克尿塞, 二氢氯噻"
D. Cc.,,[医] 双凹的
D. Cx.,,[医] 双凸的
D. D.,,[医] 给予
D. et s.,,[医] 给予并标记
D. H. Lawrence,,[网络] 劳伦斯；大卫·赫伯特·劳伦斯；劳伦兹
D. in p. aeq.,,[医] 分成等分
D. L. M,,[医] 最小致死量
D. N. B.,,[医] 二硝基苯
D. N. P. M.,,[医] 二硝基苯基吗啡
D. O.,,[医] 二胺氧化酶
D. O. A.,,[医] 到达时已死
D. P.,,[医] 适当指示
D. T.,,[医] 距离试验
D. T. D.,,[医] 给此剂量
D. T. N.,,[医] 标准白喉毒素
D. T. P.,,[医] 叩诊肢端麻刺感
D. U.,,[医] 犬单位
d. v.,,[医] 双振动(单位)
D. W. Griffith,,n. 大卫·格里菲斯
D.A.,,abbr. 地方检察官（District Attorney）；文科博士（Doctor of Arts）
D.C.,n the district occupied entirely by the city of Washington; chosen by George Washington as the site of the capital of the United States and created out of land ceded by Maryland and Virginia,"(direct current)直流电, (District of Columbia)哥伦比亚特区\n[电] 直流, direct current的简写"
d.o.a.,, [医][=dead on arrival]到院时已死亡; [电影]死亡漩涡
D.P.R.K.,,[网络] 朝鲜；朝鲜民主主义人民共和国
D.T.P. sign,,"[医] 叩诊肢端麻刺感, 蚁走感征, 提内耳氏征"
D.W.T.,,(总)载重吨位
d/a,,n. (缩)承兑交单
D/A converter,,[计] 数字-模拟转换器
D/D,,即期汇票
D/N quotient,,[医] D/N比值(葡萄糖和尿氮比值)
d/t,, [医][=date of treatment]治疗日期
D2O,,"[医] 氧化氘, 重水"
d2u,,[计] Netware DOS文本文件到UNIX文本文件转换程序
DA,n an official prosecutor for a judicial district,"美国地方检察官\n[计] 数据采集, 数据管理员, 数据分析, 设计自动化"
da capo,,"n. <意> 从头, 从头重复乐曲"
Da Costa's syndrome,,[医] 达科斯塔氏综合征(神经性循环衰弱)
da Gamma,,[网络] 葡萄牙航海家达迦马；达伽马
da kine,"The Hawaiian ""Pigeon English"" word used as in reference to something or someone. A miss pronounced word for That Kind, The kind of...\n\nPigeon English was not created by Hawaiians but originated in Hawaii during the Sugar cane importation of field workers of Japanese, Filipino, Chinese, and local Hawaiian Nationalities. The words where created due to a miss pronunciation of common words of the English language.\n> Hey did you see ""dakine"" today, he was wearing a cast on his leg? Dakine of ice cream I want is Coconut flavored!\n",
Da Nang,,(=Danang)岘港(越南港市)
da Vinci,,达·芬奇（意大利画家）
da'wah,,[网络] 达瓦；宣教
DAA,,[计] 数据存取装置
Daae's disease,,"[医] 德氏病, 流行性胸膜痛"
daalder,, [人名] 达尔德
daan,,达恩（人名）
daane,, [人名] 达恩
daar,,abbr. Daily Air Activity Report 每日空中活动报告
daas,,abbr. Department of Defence Automatic Addressing System <美>(USDOD)国防部自动寻址系统
dab,n. a small quantity of something moist or liquid\nv. apply (usually a liquid) to a surface\nv. hit lightly,"n. 少量, 轻拍, 比目鱼, 熟手\nv. 轻拍, 轻擦"
dab at,,"轻擦,涂擦…"
dab hand,,"n. 能手, 熟手, 高手"
dab off,,"轻轻地擦掉,很快地除去"
dab oil,,[化] 比目鱼油
dab on,,"轻轻地抹上,薄薄地敷上"
dab out,,用手搓洗
daba,, [医][=3，5-diaminobenzoic acid]3，5-二氨基苯甲酸
daban,, [地名] [俄罗斯] 达班
dabbed,imp. & p. p. of Dab,v. （用某物）轻触( dab的过去式和过去分词 ); 轻而快地擦掉（或抹掉）; 快速擦拭; （用某物）轻而快地涂上（或点上）…
dabber,"n. That with which one dabs; hence, a pad or other device used\n   by printers, engravers, etc., as for dabbing type or engraved plates\n   with ink.","n. 轻拍的人, 上墨皮垫"
dabbing,v apply (usually a liquid) to a surface\nv hit lightly,"[建]石面凿毛, 灰泥抛毛"
dabbings,plural of dabbing\nv apply (usually a liquid) to a surface\nv hit lightly,"(dabbing 的复数) [建]石面凿毛, 灰泥抛毛"
dabble,"v. dip a foot or hand briefly into a liquid\nv. play in or as if in water, as of small children\nv. work with in an amateurish manner\nv. bob forward and under so as to feed off the bottom of a body of water","vi. 玩水, 拨弄, 涉猎\nvt. 溅湿"
dabble at,,涉猎
dabble in,,涉猎
dabble in with stocks,,经营股票
dabble with,,"篡改,窜改"
dabbled,imp. & p. p. of Dabble,v. 涉猎( dabble的过去式和过去分词 ); 涉足; 浅尝; 少量投资
dabbler,n. an amateur who engages in an activity without serious intentions and who pretends to have knowledge,"n. 戏水者, 浅尝者"
dabblers,n. an amateur who engages in an activity without serious intentions and who pretends to have knowledge\nn. any of numerous shallow-water ducks that feed by upending and dabbling,n. 戏水者；业余家；浅尝者
dabbles,"v dip a foot or hand briefly into a liquid\nv play in or as if in water, as of small children\nv work with in an amateurish manner\nv bob forward and under so as to feed off the bottom of a body of water",v. 涉猎( dabble的第三人称单数 ); 涉足; 浅尝; 少量投资
dabbling,"v dip a foot or hand briefly into a liquid\nv play in or as if in water, as of small children\nv work with in an amateurish manner\nv bob forward and under so as to feed off the bottom of a body of water",[建] 灌注的
dabbling duck,,n. 钻水鸭
dabblingly,adv. In a dabbling manner.,adv. dabbling的变形
dabblings,"plural of dabbling\nv dip a foot or hand briefly into a liquid\nv play in or as if in water, as of small children\nv work with in an amateurish manner\nv bob forward and under so as to feed off the bottom of a body of water",(dabbling 的复数) [建] 灌注的
dabbs,," [人名] [英格兰人姓氏] 达布斯取自父名，来源于Dobb,含义是“多布之子”(son of Dobb)"
dabchick,n small European grebe,n. 鸟的一种
dabchicks,-s form of dabchick\nn small European grebe,(dabchick 的第三人称 -s形式) n.鸟的一种
dabe,,abbr. double acceptor bound exciton 双受主束缚激子
dabins,,达宾高支漂白细平布
dablle,,"[建] 灌注, 使湿润"
dabney,,n. (Dabney)人名；(英)达布尼；(法)达布内
Dabney's grip,,"[医] 达布尼氏流行性感冒, 流行性胸膜痛"
dabo,, [人名] 达博; [地名] [法国、塞内加尔] 达博
Daboecia,,[网络] 大宝石南属；荒地
Daboia,n. A large and highly venomous Asiatic viper (Daboia\n   xanthica).,[医] 蝰属
Daboia elegans,,[医] 鲁塞尔氏蝰[蛇]
Daboia russelli,,[医] 鲁塞尔氏蝰[蛇]
dabola,, [地名] [几内亚] 达博拉
dabra,, [地名] [印度] 德布拉
dabs,n a light touch or stroke\nn a small quantity of something moist or liquid\nv apply (usually a liquid) to a surface\nv hit lightly,n. 少许( dab的名词复数 ); 是…能手; 做某事很在行; 在某方面技术熟练\nv. （用某物）轻触( dab的第三人称单数 ); 轻而快地擦掉（或抹掉）; 快速擦拭; （用某物）轻而快地涂上（或点上）…
dabster,n. One who is skilled; a master of his business; a\n   proficient; an adept.,"n. <美>生手,一知半解的人"
DAC,,"[计] 数据采集与控制, 数据采集中心, 数-模转换器"
dacapo," From the beginning; a direction to return to, and end with,\n   the first strain; -- indicated by the letters D. C. Also, the strain so\n   repeated.",[意][音]从头(重复一遍)(略作 D.C.)
dacarbazinb,,甲氮咪唑胺
dacarbazine,,[化] 达卡巴嗪
dacc,," [计]= Design Assertation Consisitency Checker,设计（要求）一致性检验程序[器]"
dacca,n the capital and largest city of Bangladesh,n. 达卡（孟加拉国首都）
dace,n. small European freshwater fish with a slender bluish-green body,n. 鲮鱼
dacek,, [人名] 达塞克
Dacelo,,[网络] 笑翠鸟属；二名法
Dacelo gigas,,[网络] 笑鴗
daces,,一种鱼( dace的名词复数 )
dacey,, [人名] 达西
dach,, [医][=diamino-cyclohexane]二氨基环己烷
dacha,n. Russian country house,n. <俄>俄国郊外的别墅
dachas,plural of dacha\nn. Russian country house,(dacha 的复数) n.<俄>俄国郊外的别墅
dachau,n. a concentration camp for Jews created by the Nazis near Munich in southern Germany,n. 达豪（德国的城市）；达豪集中营（二战时由纳粹建于达豪）
dachiardite,,环晶石
Dachprism,,达赫稜镜
Dachprisma,,[德]达赫棱镜
dachs,,abbr. dachsbracke (Swedish basset) 瑞典矮脚长耳猎狗; dachshund (German=badger dog) （德语）獾狗
dachshund,n. small long-bodied short-legged German breed of dog having a short sleek coat and long drooping ears; suited for following game into burrows,n. 达克斯猎狗
dachshunds,n. small long-bodied short-legged German breed of dog having a short sleek coat and long drooping ears; suited for following game into burrows,n. 达克斯狗（一种短腿长身的德国种猎犬）( dachshund的复数形式 )
dachsie,,[网络] 达克西
Dacia,,n. 达契亚（今罗马尼亚中北部和西部的古王国）；达契亚（汽车品牌名）
dacian,a. Of or pertaining to Dacia or the Dacians.\nn. A native of ancient Dacia.,a. 大夏的
dacite,n a grey volcanic rock containing plagioclase and quartz and other crystalline minerals,[地质]英安岩
dacites,plural of dacite\nn a grey volcanic rock containing plagioclase and quartz and other crystalline minerals,(dacite 的复数) [地质]英安岩
dacitic,,[网络] 可口可乐
dack,, [人名] [英格兰人姓氏] 达克来源于古英语人名，含义是不详
dacker,,"v. <苏>摇摇摆摆, 犹豫"
Daclin butter,,[医] 达克林氏试验(检尿中山道年)
Dacninae,,[网络] 馀种类列为锥嘴鸟亚科
dacnomania,,杀人狂
dacoit,n. a member of an armed gang of robbers,"n. 强盗, 土匪"
dacoits,plural of dacoit\nn. a member of an armed gang of robbers,"(dacoit 的复数) n. 强盗, 土匪"
dacoity,n. robbery by a gang of armed dacoits,"n. 强夺, 抢劫"
dacor,,abbr. data correction 数据校正
DaCosta's disease,,"[医] 达科斯塔氏病(异位性痛风,神经性循环衰弱)"
DaCosta's syndrome,,"[医] 达科斯塔氏综合征, 神经性循环衰弱"
dacquoise,,<法> n.蛋白酥皮奶油卷筒
Dacre,,n. (Dacre)人名；(法)达克尔；(西)达克雷；(英)戴克
dacrocystitis,,[医] 泪囊炎
dacron,n. a kind of polyester fabric,n. 涤纶\n[化] (商)涤纶; 的确良
dacry-,,[医] 泪
dacryadenalgia,,[医] 泪腺痛
dacryadenitis,,[医] 泪腺炎
dacryadenoscirrhus,,[医] 泪腺硬化
dacryagoga,,[医] 催泪剂
dacryagogatresia,,[医] 泪管闭塞
dacryagogic,,"[医] 催泪的, 排泪的(管)"
dacryagogue,,"催泪剂, 排泪管"
Dacrycarpus,,[网络] 鸡毛松属；鸡毛松组
Dacrycarpus dacrydioides,,[网络] 新西兰鸡毛松
dacrycystalgia,,[医] 泪囊痛
dacrycystitis,,[医] 泪囊炎
dacrycystotome,,泪囊剥离刀
Dacrydium,,[网络] 陆均松属；痊f属
Dacrydium bidwilli,,[网络] Dacrydium bidwillii
Dacrydium colensoi,,[网络] 伦氏泪柏
Dacrydium cupressinum,,[网络] 新西兰陆均松；柏木陆均松；纽西兰陆均松
Dacrydium franklinii,,[网络] 均松
dacryelcosis,,[医] 泪器溃疡
dacrygelosis,,涕笑(笑得满眼是泪)
Dacrymyces,,n. 【真菌】花耳属
Dacrymycetaceae,,n. 【真菌】花耳科
dacryo-,,[医] 泪
dacryoadenalgia,,[医] 泪腺痛
dacryoadenectomy,,[医] 泪腺切除术
dacryoadenitis,,[医] 泪腺炎
dacryoblennorrhea,,[医] 泪管粘液溢
dacryocanaliculitis,,[医] 泪小管炎
dacryocele,,[医] 泪囊突出
dacryocyst,n either of the two dilated ends of the lacrimal ducts at the nasal ends of the eyes that fill with tears secreted by the lacrimal glands,泪囊
dacryocystalgia,,[医] 泪囊痛
dacryocystectasia,,[医] 泪囊扩张
dacryocystectomy,,[医] 泪囊切除术
dacryocystis,,[医] 泪囊
dacryocystitis,n inflammation of the lacrimal sac causing obstruction of the tube draining tears into the nose,[医] 泪囊炎
dacryocystoblennorrhea,,[医] 泪囊粘液溢
dacryocystocele,,[医] 泪囊突出
dacryocystography,,[医] 泪囊造影术
dacryocystoptosis,,"[医] 泪囊脱垂, 泪囊下垂"
dacryocystorhinostenosis,,[医] 鼻泪管狭窄
dacryocystorhinostomy,,n. [医]泪囊鼻腔造瘘术
dacryocystorhinotomy,,[医] 泪囊鼻腔造孔术
dacryocystostenosis,,[医] 泪囊狭窄
dacryocystostomy,,[医] 泪囊造口术
dacryocystosyringotomy,,[医] 泪囊泪管切开术
dacryocystotome,,[医] 泪囊刀
dacryocystotomy,,[医] 泪囊切开术
dacryogenic,,[医] 催泪的
dacryohelcosis,,[医] 泪器溃疡
dacryohemorrhea,,[医] 血泪溢
dacryohemorrhysis,,[医] 血泪溢
dacryoid,,"近梨形的, 似泪滴的"
dacryoideus,,泪珠状的
dacryolin,,[化] 泪白蛋白\n[医] 泪蛋白
dacryolith,,[医] 泪[腺]石
dacryolithiasis,,[医] 泪石病
dacryolithus,,[医] 泪[腺]石
dacryoma,,[医] 泪管肿大
Dacryomycetales,,花耳目
dacryon,n the craniometric point at the junction of the anterior border of the lacrimal bone with the frontal bone,[解]泪点
dacryops,,"[医] 泪眼, 泪管积液"
dacryoptosis,,"[医] 泪囊脱垂, 泪囊下垂"
dacryopyorrhea,,[医] 脓泪溢
dacryopyosis,,[医] 泪器化脓
dacryorhinocystotomy,,[医] 泪囊鼻腔造孔术
dacryorrhea,,"[医] 流泪, 泪溢"
dacryosialoadenopathia atrophicans,,[医] 泪腺涎腺萎缩病
dacryosinusitis,,[医] 筛窦泪管炎
dacryosolen,,[医] 泪管
dacryosolenitis,,[医] 泪管炎
dacryostegma,,[医] 泪溢
dacryostenosis,,[医] 泪管狭窄
dacryosyrinx,,"[医] 泪管瘘, 泪管注射器"
dacrysolenitis,,泪管炎
dacryuria,,"[医] 哭时遗尿, 哭尿"
dacs,,abbr. Data Acquisition and Control System 数据收集与控制系统
Dacthal,,敌草索
Dacthal),,[化] 敌草索; 四氯代对苯二甲酸二甲酯
dactil,,"[医] 代克泰耳, 二苯哌酯(抗痉挛剂)"
dactinomycin,,"n. [药]放线菌素D,更生霉素( 一种抗肿瘤的抗生素)"
dactyi,,(诗)扬抑抑格
dactyl,n. a metrical unit with stressed-unstressed-unstressed syllables,"n. 强弱弱格, 长短短格\n[医] 指, 趾"
dactyl-,," [医]指, 趾"
dactylagra,,[医] 指(趾)痛风
dactylalgia,,肢端痛
dactylar,"a. Pertaining to dactyl; dactylic.\na. Of or pertaining to a finger or toe, or to the claw of an\n   insect crustacean.",[医] 指(趾)的
dactylarin,,"四氢三羟基甲氧基甲基蒽二酮, 指孢霉素"
dactylate,,[医] 指状的
dactyledema,,指[趾]水肿
dactylic,a. of or consisting of dactyls,a. 长短短格的
dactyliferous,,[医] 有指的
dactylin,,[化] 鸭茅灵; 草花粉苷
dactyline,,[植]指状[形]的
dactylioglyph,n. An engraver of gems for rings and other ornaments.\nn. The inscription of the engraver's name on a finger\n   ring or gem.,n. 宝石戒指雕刻师
dactylioglyphy,,n. 玉石雕刻术
dactyliography,"n. The art of writing or engraving upon gems.\nn. In general, the literature or history of the art.",n. 宝石戒指雕刻术(或法)
dactyliomancy,n. Divination by means of finger rings.,n. 指环占卜术
dactylion,,并指[趾]
dactyliosolen,,指管藻属
dactyliotheca,,放收藏品用的盒子
Dactylis,,n. Dactyl的变形
Dactylis glomerata,,[网络] 鸭茅；鸭茅草；果园草
dactylite,,指形晶
dactylitic,,指形晶状的
dactylitis,n. An inflammatory affection of the fingers.,"n. [医]指炎, 趾炎"
dactylitis strumosa,,[医] 结核性指(趾)炎
dactylitis syphilitica,,[医] 梅毒性指(趾)炎
dactylitis tuberculosa,,[医] 结核性指(趾)炎
dactylium,,[医] 并指(趾)
dactylo-,,[医] 指(趾)
dactylocampsodynia,,[医] 指(趾)曲痛
Dactylochirotida,,指手目
dactylocostal rhinoplasty,,[医] 指肋软骨性鼻成形术
Dactyloctenium,,[网络] 龙爪茅属
Dactyloctenium aegypticum,,[网络] 狄氏
dactylogaphy,,"[法] 指纹学, 指纹法"
dactylognathite,,[动]指颚
dactylogram,,"n. 指纹\n[医] 指印, 指纹"
dactylograph,,[医] 打字机
dactylographers' cramp,,[医] 打字员痉挛
dactylography,,n. 指纹学\n[医] 指纹学
dactylogrophy,,"n. 指纹学, 指纹法"
dactylogryposis,,[医] 弯指(趾)
Dactylogyroidea,,指环总科
dactyloid,,指形的
dactylology,n. The art of communicating ideas by certain movements\n   and positions of the fingers; -- a method of conversing practiced by\n   the deaf and dumb.,n. 手语法\n[医] 手语
dactylolysis,,指(趾)脱落
dactylolysis spontanea,,[医] 自发性指(趾)脱落
dactylomegaly,n abnormally large fingers or toes,巨蹼分离术
Dactylomyia,,[医] 趾蚊属(按蚊的一属)
dactylopasia,,手语
dactylophasia,,[医] 手语
Dactylopiidae,,n. 【昆虫】粉蚧科
Dactylopius,,[网络] 胭脂虫是洋红蚧属；胭蚧属；指节蚧
Dactylopius coccus,,[医] 胭脂虫
dactylopodite,,[医] 指节
dactylopore,,[动]指孔
Dactylopteridae,,n. 豹鲂鮄科
dactylopterous,"a. Having the inferior rays of the pectoral fins\n   partially or entirely free, as in the gurnards.",[动]趾鳍的
Dactylopterus,,[网络] 真豹鲂鮄属
dactylorhiza,n genus of terrestrial orchids of Europe and Asia and North Africa,"根歧, 肿根"
Dactylorhiza fuchsii,,[网络] 兰
Dactyloscopidae,n. sand stargazers,望星鱼科
dactyloscopy,,n. 指纹鉴定法\n[医] 指纹鉴定法
dactylose,,"指状的, 具指的"
dactylospasm,,[医] 指(趾)痉挛
Dactylosporangium,,指孢囊菌属
dactylosternal,,胸指
dactylosymphysis,,[医] 并指(趾)
dactylotheca,"n. The scaly covering of the toes, as in birds.",[医] 指套
dactylotomy,,[医] 指(趾)切开术
dactylotype,,指纹结构
dactylozooid,"n. A kind of zooid of Siphonophora which has an\n   elongated or even vermiform body, with one tentacle, but no mouth. See\n   Siphonophora.", 指状个员
dactyls,plural of dactyl\nn. a metrical unit with stressed-unstressed-unstressed syllables,"(dactyl 的复数) n. 强弱弱格, 长短短格\n[医] 指, 趾"
dactylus,,"n. [诗]扬抑抑格, 长短短格"
dacula,, [地名] [美国] 达丘拉
dad,n. an informal term for a father; probably derived from baby talk,"n. 爸爸, 爹爹"
dad-blamed,,adj. 该死的，非常的
dada,n. a nihilistic art movement (especially in painting) that flourished in Europe early in the 20th century; based on irrationality and negation of the accepted laws of beauty,"n. 爸爸, 达达主义派的文艺作品"
dadaism,n a nihilistic art movement (especially in painting) that flourished in Europe early in the 20th century; based on irrationality and negation of the accepted laws of beauty,"n. 达达派, 达达主义（崇尚虚无的艺术派别）"
Dadaist,,n. 达达主义的艺术家
dadaistic,, 达达派的 Dadaistically
Dadaists,plural of Dadaist,(Dadaist 的复数) n. 达达主义的艺术家
dadal,, [地名] [蒙古] 达达勒
dadas,plural of dada\nn. a nihilistic art movement (especially in painting) that flourished in Europe early in the 20th century; based on irrationality and negation of the accepted laws of beauty,"(dada 的复数) n. 爸爸, 达达主义派的文艺作品"
dadd,, [人名] 达德
Dadda,,n. (Dadda)人名；(意)达达
daddies,n. an informal term for a father; probably derived from baby talk,n. 爸( daddy的复数形式 ); 爹; 甜心爸爸（在年轻女子身上乱花钱的阔老头）; 老色鬼
daddio,, [人名] 达迪奥
daddled,imp. & p. p. of Dadle,vi. 鬼混；浪费时间
daddling,p. pr. & vb. n. of Dadle,vi. 鬼混；浪费时间
daddock,n. The rotten body of a tree.,烂木头
dadds,, 二乙酰氨苯砜
daddy,n an informal term for a father; probably derived from baby talk,n. 爸爸
daddy longlegs,,n. <正>长脚蚊； <美>盲蜘蛛
daddy-long-legs,,n. 长脚蜘蛛
daddy-longlegs,,"n. <美口>盲蜘蛛,<英口>大蚊"
daddy-o,, [电影]情圣
dade,"v. t. To hold up by leading strings or by the hand, as a child\n   while he toddles.\nv. i. To walk unsteadily, as a child in leading strings, or just\n   learning to walk; to move slowly.",n. 戴德（美国迈阿密一郡名）；戴德（美国一城市名）；戴德（姓氏）
dadeville,, [地名] [美国] 戴德维尔
dadi,,n. (Dadi)人名；(匈)道迪；(尼日尔、乍、意)达迪\nabbr. 二甲氧基苯胺二异氰酸酯（dianisidine diisocyanate）
dado,n. the section of a pedestal between the base and the surbase\nn. a rectangular groove cut into a board so that another piece can fit into it\nv. provide with a dado,"n. 护墙板, 台座"
dado plane,, 沟槽刨（刀），开槽刨（刀）
dado rail,, 护壁板顶木条
dadoed,n. the section of a pedestal between the base and the surbase\nn. a rectangular groove cut into a board so that another piece can fit into it\nv. provide with a dado,"n. 护墙板, 台座"
dadoes,pl.  of Dado,n. 护墙板；台座\nn. (Dado)人名；(阿拉伯)达杜；(意、塞)达多
dadoing,v provide with a dado\nv cut a dado into or fit into a dado," 刨槽, 槽加工"
dados,n panel forming the lower part of an interior wall when it is finished differently from the rest of the wall\nn the section of a pedestal between the base and the surbase\nn a rectangular groove cut into a board so that another piece can fit into it\nv provide with a dado\nv cut a dado into or fit into a dado,"n. 护墙板, 台座( dado的名词复数 )"
dadou,, [地名] [法国] 达杜河
dads,n. an informal term for a father; probably derived from baby talk,"n. 爸, 爹( dad的复数形式 )"
dadu,,n. (Dadu)人名；(印)达杜；(法)达迪
dady,,n. 达迪（男子名）
DAE,,[计] 数据采集设备
Dae-Han-Min-Gook,,[网络] 韩国国名
daedal,s. complex and ingenious in design or function,"a. 巧妙的, 错综复杂的, 千变万化的"
daedala,,传说中的雕塑家第德勒斯(Daedalus)所作希腊最早的雕塑作品
Daedalean,,技巧的\n机智的\n错综复杂的\n代达罗斯（Daedalus）的
daedaleous,,迷路状的
Daedalian,a. Cunningly or ingeniously formed or working; skillful;\n   artistic; ingenious.\na. Crafty; deceitful.,a. 巧妙的
Daedalus,n. (Greek mythology) an Athenian inventor who built the labyrinth of Minos; to escape the labyrinth he fashioned wings for himself and his son Icarus,n. [希神] 代达罗斯
Daegu,,n. 大邱（韩国城市）
Daeing,-ing form of DAE,(DAE 的现在分词) [计] 数据采集设备
Daejeon,,n. 大田市（韩国城市）
