word,definition,translation
"I know, right?","An affirmation that you agree with or can relate to the preceding statement. It can be used whether the speaker actually knows or not, but in the latter case it usually means that the speaker can attribute the preceding statement to themselves as well.\r\n\n> ""I got so drunk at the party that I puked when I got home."" ""I know, right? I think I might have barfed up stuff from last year.""\n> ""My parents are such trogs."" ""I know right? Mine think my LJ is a literal notebook.""\n",
I left my wallet at home,,我把钱夹留在家里了
I like his music a lot,,我很喜欢他的音乐
I like hot weather best,,我最喜欢热天
I like the shape of that table,,我喜欢那张桌子的式样
I lived in California until seventeen,,我在加州一直住到十七岁
I Love You,,我爱你。
I Maccabees,,[网络] 我马加比；麦克比斯前书；马克比前书
I mean,,我是说；我的意思是
I must know your opinion,,我必须知道你的意见
I need to wax it,,我需要给它打蜡
I never dreamt that...,,我从没想到...
I never used to oversleep,,我从不习惯多睡
I owe you,,"借据, 借条"
I Peter,,[网络] 彼得前书；彼得前书注释
I pity the fool,"In Mr. T-glish, a rhetoric comment equivalent to the English ""I'd best not find out who it was.""\n> I pity the fool who scratched my car.\n",
I prefer golfing as a hobby,,我喜欢把打高尔夫作为一种嗜好
i put on my wizard hat,"Made famous by the Bash.org Top 100 list, ""I put on my robe and my wizard hat"" refers to the fake cyber sex dialogues of BloodNinja.\n> bloodninja: Baby, I been havin a tough night so treat me nice aight?\n> BritneySpears14: Aight.\n> bloodninja: Slip out of those pants baby, yeah.\n> BritneySpears14: I slip out of my pants, just for you, bloodninja.\n> bloodninja: Oh yeah, aight. Aight, I put on my robe and wizard hat.\n",
i rays,,[医] i射线
I remembered something,,我正好想起来了
I Samuel,,[网络] 撒母耳记上
I say,,"(引起话头)喂, 啊呀, 唷, 嗨"
I see,,"我明白,我理解,我知道"
i see what you did there,"A common turn of phrase on the internet, generally used as an expression of quiet, subdued admiration for one's wit.  Especially appropriate after a particularly deft [pun].\n> Person 1:  You hear about that guy who stole all the plumbing fixtures from that house?  He even took all the toilets.  The police have nothing to go on.\n> Person 2:  Heh.  I see what you did there.\n",
I sent in a subscription to the magazine,,我送了一份订单给那个杂志社
I should have thought,,我本来认为
I should like,,我要
I should say,,"(作插入语)我想, 大概"
I should think,,我认为
i signal,,[电] I信号
I simply can't conceive why...,,我实在想象不出为什么...
I slept soundly all night,,我整夜都睡得很熟
I slipped on the stairs and fell down,,我在楼梯上滑倒摔下来
I spent my childhood in Califormia,,我的童年是在加州度过的
I started a new hobby,,我开始有了新的嗜好
I started to wonder if...,,我开始怀疑是否...
I still have a cough,,我仍然咳嗽
I strain,,[化] 内张力
I take my leave,"A polite way of saying goodbye.\n> John: The coffee was great Mark, my compliments.\n> Mark: You are being too kind. Do you want some cookies?\n> John: I'm sorry, but I have a meeting in a few minutes, I take my leave.\n",
I Thessalonians,,[网络] 帖撒罗尼迦前书；帖前
I thought as much,,我也料到
I Timothy,,[网络] 提摩太前书；提摩太前书第一章；提前
I used to ask him a lot of questions,,我问了他很多问题
I usually go to bed at about midnight,,我通常差不多在半夜才睡觉
I usually wake up early,,我通常醒得很早
I ventrue to say that...,,"我敢说..., 我敢冒昧地说..."
I want to do something,,我要去办点事
I want to make a long distance call,,我想打长途电话
I was at home all afternoon,,我整个下午都在家
I was glad to do it,,我乐意做的
I was hired yesterday,,我昨天才受雇的
I was listening to the radio,,我在听收音机
I was sick yesterday,,昨天我病了
I was thirty on my last birthday,,上次生日我是过三十岁
I went to a boxing match last night,,昨晚我去看了一场拳击比赛
I went to see a friend of mine,,我去看我的一个朋友
I went to sleep immediately,,我立刻睡着了
I wonder if this is a local broadcast,,我怀疑这会是当地的广播
I work for the Department of Labor,,我在劳工部工作
I work hard all morning,,我整个上午努力工作
I worked from morning until late night,,我从清早工作到深夜
I wouldn't kick her out of bed for eating crackers,,[网络] 我不会踢她离开床吃饼干
I wrote to my uncle last night,,昨晚我写信给我伯父
I'd, A contraction from I would or I had.,abbr. 我愿意（等于I would）
I'd Hit it,,[网络] 我会打它
I'd shave for him,,[网络] 我会为他刮胡子
I'd ten times rather...,,我最好是...
I'll,,"我将, 我会（=I shall）"
I'll be doggoned if I...,,"假如我...我就要被诅咒, 我决不..."
I'll be hanged if...,,"决不, 决不会"
I'll be shot if...,,"假如...的话, 那我就不得好死."
I'll go bail that...,,我肯定...
I'm, A contraction of I am.,abbr. 我是（缩写）
I'm Batman syndrome,,[网络] 我是蝙蝠侠综合症
I'm dying,,[网络] 我要死了
i'm going to sleep,,[网络] 我要睡觉了
I'm Good,,[网络] 我很好
i'm just sayin',,[网络] 我只是说'
I'm not gay seat,,[网络] 我不是同性恋座位
I'm not unaware the...,,我并非不知道...
I'm out of practice,,[网络] 我没有练习
I'm so fucking bored,,[网络] 我真的很开心无聊
I've, Colloquial contraction of I have.,（等于I have）
i-,," [医]不旋, 异"
i-band,, [医]I-带（横纹肌）
i-bands,plural of i-band,(i-band 的复数)  [医]I-带（横纹肌）
i-bar,,[机] I形条
I-beam,n. girder having a cross section resembling the letter `I',n. I字梁\n[计] I型标
i-bus,,abbr. inter-bus 内总线
i-d,, [医][=intensity-duration curve]强度-期间曲线
i-display,,[电] I显示
i-e,,abbr. internal-external 内部的-外部的; introversion-extroversion 内向性-外向性
I-em-hotep,,[医] 伊姆霍提普
I-frame,,[计] 信息帧
I-go,,n. 围棋
i-line,, [医]近交系，自交系
i-mind,,[网络] 我介意；因为我在乎；我不介意
i-mode,,abbr. information mode 信息模式
I-para,,[医] 初产妇
I-Peeper,"eye-peeper(noun); a person, usually in the workplace, who looks at someone's IPOD screen to see what it is they are listening to and then comments on it, or uses that information later for some other purpose. \n> ""Joe I-peeped me yesterday when I was listening to Black Sabbath, and then during lunch, joked to my boss that I listen to 'the devil's music'"".\n> ""Hey, I don't mean to be an I-Peeper but I see we have a mutual Clay Aiken thing going on.""\n",
i-phase carrier,,[电] I相载子
i-r,, [医][=Ito-Reenstierna's reaction]伊藤-伦斯蒂那反应：软下疳皮内试验
i-scan,,[电] I-扫描
i-scope,,[电] I镜
I-section steel,,[化] 工字钢
I-shape cursor,,I型光标\n[计] I型光标
i-shaped,, 工字形
I-shaped suspension shaft,,[化] 工字悬挂轴
i-signal,,[电] I讯号
I-spy,,n. 猜物游戏；一种捉迷藏游戏
i-steel,,[机] I形钢
I-strain,,[化] 内应变
I-time,,[计] 取指令时间
i-type,,[电] I型
i-v,,"abbr. current-voltage 电流-电压（代号）; current-voltage characteristic, current versus voltage curve 电流-电压特性曲线（代号）"
i.,,[医] 不旋光的
I. A.,,[医] 阻抗角
I. A. Richards,,[网络] 理查兹
I. B.,,[医] 包涵体
I. C. N.,,[医] 国际护士公会
I. C. T.,,"[医] 结蒂组织炎, 胰岛素昏迷疗法"
I. E.," Abbreviation of Latin id est, that is.",[医] 免疫单位
I. F. Stone,,[网络] 石
I. H.,,[医] 传染性肝炎
I. K.,,[医] 免疫体
I. K. unit,,[医] 草履虫杀灭单位
I. M.,,[医] 肌内[注射]
I. M. Pei,,[网络] 贝聿铭；贝聿明
I. P.,,"[医] 腹膜内, 等电点"
I. Q.,,[医] 智力商数
I. R.,,[医] 内[电]阻
I. S.,,[医] 肋间隙
I.C.C.specifications,,[化] 洲际贸易委员会规格
I.D.,,abbr. “ID”的变体\n[网络] 内径；身份证；你要身分证明
i.e.,e that is to say; in other words,adv. 也就是
I.E.D.,,[网络] 简易爆炸装置；土制炸弹；简易型爆炸装置
I.K.I catgut,,[医] 碘碘化钾肠线
I.N.S. value,,[化] I.N.S.值(皂化价减去碘价)
I.Q.,n a measure of a person's intelligence as indicated by an intelligence test; the ratio of a person's mental age to their chronological age (multiplied by 100),"智商, 智力商数, 同..."
I.U.,,[医] 免疫单位:国际单位
I.V.,,[医] 静脉注射
I.V.T.,,"[医] 静脉输液, 静脉输血"
I.W.W.,,abbr. Industrial Workers of the World 〔美国〕世界产业工人组织\n[网络] 世界产业工人联盟；世界产业工人联合会；世界产业劳动者同盟
I/O,,[计] 输入输出
I/O address,,输入输出地址\n[计] 输入输出地址
I/O appendage I/O,,[计] 附加程序
I/O area,,[计] 输入输出区
I/O bound,,[计] (受)输入/输出限制的
I/O cable,,[计] 输入输出电缆
I/O control system,,[计] 输入输出控制系统
I/O controller,,[计] 输入输出控制器
I/O device,,[计] 输入输出设备
I/O interruption,,[计] 输入输出中断
I/O list I/O,,[计] 列表
I/O management program,,[计] 输入输出管理程序
I/O mapped,,[计] 输入输出映射的
I/O mode,,[计] 输入输出方式
I/O redirection,,输入输出重定向\n[计] 输入输出重定向
I/O request packet,,[计] 输入输出请求包
I/O request word I/O,,[计] 请求字
I/O status specifier,,[计] 输入输出状态说明符
I/O supervisor,,[计] 输入输出管理程序
I/O tag,,[计] 输入输出标记
I/O transfer rate,,[计] 输入输出传输速率
I/O-bound program,,[计] 受输入输出限制的程序
I/O-bound system,,[计] 受输入输出限制的系统
I/P split,,[计] 指令/数据分离
IA,n a state in midwestern United States,"[计] 指令地址, 集成转接器\n[医] 肠下垂"
IAA,n. a plant hormone promoting elongation of stems and roots\nn. Yemen-based terrorist group that supports al-Qaeda's goals; seeks to overthrow the Yemeni government and eliminate United States interests; responsible for bombings and kidnappings and killing western tourists in Yemen,国际航天文摘
iaac,,abbr. Individual All-Around Competition 个人全能比赛
IAAF,,国际业余田径联合会
iaas,,abbr. International Association of Agricultural Students 国际农业学者协会; International Association of Survey Statisicians 国际调查统计员协会; Incorporated Association of Architects and Surveyors 建筑师和测量员联合协会; Institute of Advanced Arab Studies 高级阿拉伯研究所
IAB,,[计] Internet活动委员会
IABA,,abbr. 国际业余拳击协会（International Amateur Boxing Association）
IAC,,[计] 交互应用通信
iacc,,abbr. International Association of Conference Centers 国际会议中心协会; Inter-Agency Consultative Committee 机构间协商委员会; The Indo-American Chamber of Commerce 印度-美国商会; Italy-America Chamber of Commerce 意大利和美国商业协会
iaccoca,, [人名] 亚科卡
iachr,,abbr. Inter-American Commission on Human Rights 泛美人权委员会
iack,,n. (Iack)人名；(罗)亚克
iacobucci,, [人名] 亚科布奇
iacocca,, [人名] 亚科卡
iacp,, [医][=intra-aortic counterpulsation]主动脉内反搏术
iacrimator,,[医] 催泪剂
Iacrimotome,,[医] 泪管刀
Iacs,plural of IAC,(IAC 的复数) [计] 交互应用通信
Iactochrome,,"[医] 核黄素, 维生素B-2"
iad,,abbr. 国际天体物理十年（International Astrophysical Decade）
iada,, [医][=indirectly acting dopamine agonist]间接作用多巴胺激动剂
iadl,,abbr. International Association of Democratic Lawyers 国际民主法律工作者协会
IAEA,n the United Nations agency concerned with atomic energy,abbr. 国际原子能组织（International Atomic Energy Agency）
iaec,,abbr. International Atomic Energy Committee 国际原子能委员会; Indian Atomic Energy Commission 印度原子能委员会; Israel Atomic Energy Commission 以色列原子能委员会; Inter-American Economic and Social Council 美洲经济与社会理事会
iaee,,abbr. Institute of the Aeronautical Engineers <英国>航空工程师学会; International Association for Earthquake Engineering 国际地震工程协会; International Association of Earthquake Engineers 国际地震工程师协会
IAF,,[计] 交互设备
iafc,,abbr. instantaneous automatic frequency control 瞬时自动频率控制; Inter-American Freight Conference 美州货运公会; International Association of Fire Chiefs 国际消防队长协会
Iago,n. the villain in William Shakespeare's tragedy who tricked Othello into murdering his wife,n. 埃古(莎士比亚悲剧《奥赛罗》)
iah,, [医][=idiopathic adrenal hyperplasia]特发性肾上腺增生（症）
iai,, [医][=intra-abdominal infection]腹腔内感染
iaia,,n. 亚亚线
iaido,,"n. 居合道(日本剑道的一派,由坐姿迅速拔刀格杀)"
iain,, [男子名] [苏格兰人姓氏] 伊恩 John的盖尔语变体
iaje,,abbr. Internacio Asocia de Juristoj Esperantistoj (=International Association of Esperantist Jurists) （世界语）国际世界语法学家协会
iakovos,, [人名] 亚科沃斯
iakyrine,,[化] 绿青菌素
IAL,,[计] 国际代数语言
iald,,abbr. International Association of Large Dams 国际大坝协会; International Association of Lighting Designers 国际舞台灯光设计师协会
ialpite,,方硫银矿
Ials,plural of IAL,(IAL 的复数) [计] 国际代数语言
iam,,abbr. 国际机械师协会（International Association of Machinists）；索引存取方法（Indexed Access Method）；国际医学研究院（International Academy of Medicine）；国际气象学会（International Association of Meteorology）
iamatology,n. Materia Medica; that branch of therapeutics which\n   treats of remedies.,药疗学
iamb,n. a metrical unit with unstressed-stressed syllables,"n. 抑扬格, 短长格"
iambi,pl.  of Iambus,"n. 抑扬格, 短长格( iambus的名词复数 )"
iambic,n. a verse line consisting of iambs\na. of or consisting of iambs,"n. [诗]短长格,抑扬格, 抑扬格诗"
iambically,adv. In a iambic manner; after the manner of iambics.,adv. iambic的变形
iambus,n a metrical unit with unstressed-stressed syllables,"n. 抑扬格, 短长格"
iambuses,pl.  of Iambus,"n. 抑扬格, 短长格( iambus的名词复数 )"
iamfes,," [医][=International Association of Milk,Food and Environmental Sanitarians]国际奶品、食品与环境卫生工作者协会"
iams,, [医][=International Association of Microbiological Societies]国际微生物学会
ian,,n. 伊恩（男子名）
Ian Douglas Smith,,[网络] 伊恩·道格拉斯·史密斯
Ian Fleming,,n. 伊恩·弗莱明
Ian Lancaster Fleming,,[网络] 伊安·弗兰明；佛莱明；伊恩佛莱明
Ian Smith,,n. 伊恩·史密斯
Ian Wilmut,,[网络] 威尔穆特；伊恩·威尔莫特；威尔姆特
IANA,,[计] Internet号码分配局
iane,,n. (Iane)人名；(罗)亚内
ianfu,,[网络] 傅树荣
ianni,, [人名] 扬尼
iannucci,, [人名] 扬努齐
Ianov schema,,[计] 雅诺夫模式
iantha,, [地名] [美国] 艾安萨
Ianthe,,n. 艾安西(f.)
ianthine,,"丁香紫色的, 蓝紫色的"
ianthinite,,水铀矿
ianthinopsia,,紫幻视
ianthinosporous,,具蓝紫色孢子的
ianthinus,,"蓝紫色的, 紫萝兰色的"
iao,, [医]Intake and Output
IAP,,"国际机场\n[计] 图象阵列处理器, 内部阵列处理器"
iapa,,abbr. Inter-American Parliamentary Association 美洲议员协会; intraacinar pulmonary artery 腺泡内肺动脉; Inter-American Press Association 泛美印刷协会; International Airline Passengers Association 国际航空乘客协会
Iapetus,n. (Greek mythology) the Titan who was father of Atlas and Epimetheus and Prometheus in ancient mythology,土卫八
Iaps,plural of IAP,"(IAP 的复数) 国际机场\n[计] 图象阵列处理器, 内部阵列处理器"
iaq,,abbr. indoor air quality 室内空气质量
iaquirina,,[化] 绿青菌素
iar,,n. 指令地址寄存器
iarc,, [医][=International Agency for Research on Cancer]国际癌症研究署，国际肿瘤研究机构
iargonize,,[医] 说话乱杂
Iarmature,,[电] I形电枢
iarovization,,"(=vernalization)春化(作用), 春化处理"
iarovize,,v. [农](播种前用低温处理种子)使(植物)春化
iaryngopharyngitis,,[医] 咽喉炎
Iaryngotracheitis,,[医] 喉气管炎
IAS,n a state in midwestern United States,"[计] 交互应用系统, 互连地址空间"
iasa,,abbr. Insurance Accounting and Statistical Association <美>保险会计与统计协会
iasc,," [计]= International Association for Statistical Computing,国际统计计算协会"
iaser,,红外微波激射器
Iasi,,雅西[罗马尼亚东北部城市]
iasl,, [医][=International Association for the Study of the Liver]国际肝脏研究协会
iat,,abbr. inside air temperature 内部气温，室内气温
iata,,abbr. 国际航空运输协会（International Air Transport Association）
iata cargo agent,,[经] 国际航空运输协会货运代理
iata rate,,[经] 国际航空运输协会运价
iata traffic conference,,[经] 国际航空运输协会运输会议
iate,,伊利诺伊州英语教师协会(Illinois Association of Teachers of English)\n国际戒酒教育协会(International Association for Temperance Education)
iater,,abbr. international atomic time
iateria,,"(=therapeutics)疗法, 治疗(学)"
iatest,,abbr. international atomic time
iathergy,,脱敏性免疫
iating,-ing form of iate,(iate 的现在分词) 伊利诺伊州英语教师协会(Illinois Association of Teachers of English)\n国际戒酒教育协会(International Association for Temperance Education)
iatraliptic,"a. Treating diseases by anointing and friction; as, the\n   iatraliptic method.","[医] 涂擦法的, 擦药疗法的"
iatraliptics,,"涂擦法, 擦药疗法"
iatrarchy,,医师监视
iatreusiology,,治疗学
iatreusis,,"[医] 疗法, 治疗"
iatric,a. Alt. of Iatrical,"a. 医学的, 药物的, 医生的, 医疗的\n[医] 医师的, 医学的"
iatrical,"a. Of or pertaining to medicine, or to medical men.","a. 医学的, 医疗的"
iatro-,,"表示“医学,医疗”之义"
Iatrobdella,,[医] 水蛭属
iatrochemia,,[医] 化学医学[派]
iatrochemical,"a. Of or pertaining to iatrochemistry, or to the\n   iatrochemists.",[医] 化学医学[派]的
iatrochemist,n. A physician who explained or treated diseases upon\n   chemical principles; one who practiced iatrochemistry.,[医] 化学医学家
iatrochemistry,"n. Chemistry applied to, or used in, medicine; -- used\n   especially with reference to the doctrines in the school of physicians\n   in Flanders, in the 17th century, who held that health depends upon the\n   proper chemical relations of the fluids of the body, and who endeavored\n   to explain the conditions of health or disease by chemical principles.",n. 化学疗法
iatrogenesis,,n. [医]医原病发生
iatrogenic,s. induced by a physician's words or therapy (used especially of a complication resulting from treatment),"[医] 医原性的, 受医师影响的"
iatrogenically,,adv. iatrogenic的变形
iatrogeny,,[医] 医原病发生
iatroleptica,,"[医] 擦药疗法, 擦药法"
iatrology,,"n. 医学, 治疗学"
iatromathematical,a. Of or pertaining to iatromathematicians or their\n   doctrine.,[医] 物理医学的
iatromechanical,,[医] 物理医学的
iatron,,投影电位示波器
iatrophysical,,[医] 物理医学的
iatrophysicist,,物理医学派学者
iatrophysics,,物理医学(派)
iatrotechnics,,治疗(技)术
iatrotechnique,,[医] 治疗[技]术
iatse,,abbr. International Alliance of Theatrical Stage Employees 国际戏剧舞台雇员同盟; International Alliance of Theatrical Stage Employees and Moving Picture Machine Operators <加拿大><美国>国际戏剧舞台雇员与电影放映员同盟
iattc,,abbr. Inter-American Tropical Tuna Commission 美洲国家热带金枪鱼委员会
IAU,,abbr. 国际大学协会（International Association of Universities）；国际天文联合会（International Astronomical Union）
iaudio,,n. 艾欧迪（MP3品牌）
iava,,abbr. Industrial Audio-Visual Association 工业视听教学协会; information assurance vulnerability alert 信息保证易损性告警
iavi,,abbr. International AIDS Vaccine Initiative 国际爱滋病疫苗行动
iaw,,abbr. 根据（in accordance with）；国际妇女同盟（International Alliance of Women）
IB,,"[计] 识别字符块, 输入总线, 内部总线, 接口总线"
ib., in the same place (used when citing a reference),"adv. 出处同上\n[医] 磅, 天平"
IBA,,伊拜(菲律宾的中型乔木)
ibaa,," [计]= Independent Bankers Association of America,美洲独立银行家协会"
ibabura,,(一种南美带平衡浮木的)小艇
Ibada,,"n. 伊斯兰教徒在宗教上的责任(如颂经,祷告,朝圣等)"
Ibadan,n a large Yoruba city in southwestern Nigeria; site of a university,伊巴丹[尼日利亚西南部城市]
ibam,,abbr. Institute of Business Administration and Management <日本>工商业经营管理学会
Ibanez,,n. (Ibanez)人名；(英)伊巴涅斯
ibar,,abbr. Inter-African Bureau for Animal Resources 非洲动物资源局
ibaraki,, [地名] [日本] 茨城〈茨城县〉; [地名] [日本] 茨木〈大阪府〉
ibarra,, [人名] 伊瓦拉; [地名] [厄瓜多尔、古巴、墨西哥] 伊瓦拉
ibas,,abbr. improved Bradley acquisition system 改进型布拉德利搜索系统; Indonesian Business Association of Singapore 新加坡; 印度尼西亚商业委员会; integrated Bradley acquisition system 综合布拉德利搜索系统
ibb,, [医][=intestinal brush border]肠刷状缘
ibbetson,, [人名] 伊比森
Ibbotson,,n. (Ibbotson)人名；(英)伊博森
ibby,,abbr. International Board on Books for Young People 国际青年读物委员会
Ibc,,[经] 国际咖啡组织
Ibcs,plural of Ibc,(Ibc 的复数) [经] 国际咖啡组织
ibd,, 离子束穿孔；炎症性肠病
IBDA-C,,[网络] 大东伊斯兰袭击者阵线；者的前面
ibdn,,abbr. integrated building distribution network 综合大厦[楼宇]布线网络; intelligent building distribution network 智能大厦布线网络
ibe,,abbr. Institution of British Engineers 英国工程师协会
ibekwe,, [地名] [尼日利亚] 伊贝奎
iben,,abbr. incendiary bomb with explosive nose 装有爆炸头的燃烧弹
iber,,n. 纤维
iberia,n. an ancient geographical region to the south of the Caucasus Mountains that corresponded approximately to the present-day Georgia,n. 伊比利亚；伊伯利亚半岛
Iberian,n. a native or inhabitant of Iberia in the Caucasus\nn. a native or inhabitant of the Iberian Peninsula (especially in ancient times)\na. of or relating to the Iberian Peninsula or its inhabitants,"a. 伊比利亚的, 伊比利亚语的\nn. 伊比利亚人, 伊比利亚语"
Iberian Peninsula,,伊比利亚半岛
Iberians,plural of Iberian\nn. a native or inhabitant of Iberia in the Caucasus\nn. a native or inhabitant of the Iberian Peninsula (especially in ancient times)\na. of or relating to the Iberian Peninsula or its inhabitants,"(Iberian 的复数) a. 伊比利亚的, 伊比利亚语的\nn. 伊比利亚人, 伊比利亚语"
iberis,n Old World herbs and subshrubs: candytuft,n. 屈曲花属植物
iberite,,"伊比利石, 青块云母"
Ibero-mesornis,,[网络] Iberomesornis
Ibert,,[网络] 伊贝尔；Integrated Bit Error Ratio Tester；艾伯特
Iberville,,n. (Iberville)人名；(法)伊贝维尔
ibew,,abbr. International Brotherhood of Electrical Workers 国际电气工人兄弟会
ibex,n. wild goat of mountain areas of Eurasia and northern Africa having large recurved horns,n. 北山羊
ibexes,pl.  of Ibex,n. 野生山羊( ibex的名词复数 )
IBF,,[机] 英国铸造工程师学会
IBG,,[计] 块间隔; 组间间隔
ibgine,,伊博格碱
ibi,, [医][=inter-beat intervals]心搏间期
Ibibio,,n. 伊比比奥族人[语]
ibices,pl.  of Ibex,n. 野生山羊( ibex的名词复数 )
ibid,,"adv. 如上, 同前"
ibid., in the same place (used when citing a reference),adv. 出处同上
ibidem, in the same place (used when citing a reference),"adv. 同前, 如上\n[法] 出处同上, 出自同一处"
ibidine,,a. 朱鹭的
ibis,n. wading birds of warm regions having long slender down-curved bills,n. 朱鹭
Ibis ibis,,[网络] 黄嘴鹮鹳
ibises,n. wading birds of warm regions having long slender down-curved bills,n. 朱鹭( ibis的名词复数 )
ibisys,," [计]= Integrated Business Information System,（好利获得公司的）综合业务信息系统"
ibit,,氧碘鞣酸铋
Ibiza,,n. 伊比沙岛（位于地中海西部）
Ibizan,,hound 伊维萨猎犬(体形瘦长、行动敏捷)
Ibizan hound,,依比沙猎犬
Ibizan Podenco,,[网络] 伊比赞·波登科（Ibizan Podenco）
iblis,,n. 恶魔
IBM,,美国国际商用机器公司\n[计] 国际商用机器公司
IBM 3740 floppy disk format,,[计] IBM3740软盘标准格式
IBM diskette,,[计] 2DIBM双面双密度软磁盘
IBM PC,,[计] IBM个人计算机
IBM PC/AT,,[计] IBM PC/AT计算机
IBM PC/XT,,[计] IBM PC/XT计算机
IBM PS/2,,[计] IBM PS/2计算机
IBM RS/6000,,[计] IBM RS/6000处理器
IBM system/370,,[计] IBM370系统
IBM-compatible,,[计] 与IBM公司机器兼容的
IBM-compatible computer,,[计] IBM兼容的计算机
Ibm-compatibles,plural of IBM-compatible,(IBM-compatible 的复数) [计] 与IBM公司机器兼容的
IBM3270,,[计] IBM3270系列
ibms,, [医][=Institute of Basic Medical Sciences]基础医学研究所
Ibn,,n. 伊本（阿拉伯男子名）
Ibn al-Haytham,,[网络] 伊本海赛姆；海萨姆；海什木
ibn Sina,,"[医] 伊本.辛纳, 阿维森纳"
ibn Talal Hussein,,[网络] 约旦国王胡笙
ibn-,,表示“...之子”之义
ibn-Roshd,,[网络] 罗塞
Ibn-Rushd,,伊本·鲁世德（阿拉伯语名字）
ibn-Sina,,[网络] 西拿
ibo,n a member of the largest ethnic group in southeastern Nigeria,n. 伊博人（尼日利亚居民）；伊博语\nn. (Ibo)人名；(日)揖保 (姓)；(土)伊博\nabbr. 国际广播组织（International Broadcasting Organization）
ibogaine,,伊菠加因(抗抑郁药)
ibogamine,,伊菠胺
Iboganine,,[建] 伊菠因
ibolium privet,, 夷卜女贞
iboluteine,,伊波叶黄素
iboquine,,伊波奎
ibos,plural of ibo\nn a member of the largest ethnic group in southeastern Nigeria,(ibo 的复数) n. 伊博人（尼日利亚居民）；伊博语\nn. (Ibo)人名；(日)揖保 (姓)；(土)伊博\nabbr. 国际广播组织（International Broadcasting Organization）
ibotenate,,鹅膏蕈氨酸盐、酯或根
ibotenic acid,,[化] 鹅膏蕈氨酸
IBP,,[化] 异稻瘟净
ibpgr,, [医]植物遗传资源国际委员会
ibr,, 专业机构康复
ibra,,abbr. Indonesian Bank Restructuring Agency 印度尼西亚银行重组机构
Ibrahim,"n the first of the Old Testament patriarchs and the father of Isaac; according to Genesis, God promised to give Abraham's family (the Hebrews) the land of Canaan (the Promised Land); God tested Abraham by asking him to sacrifice his son","n. 易卜拉欣（与阿丹、努哈、穆萨、尔撒和穆罕默德并称为安拉的六大使者, 亦系犹太教和基督教推崇的圣人和希伯来人的祖先）"
IBRD,n. a United Nations agency created to assist developing nations by loans guaranteed by member governments,abbr. 国际复兴开发银行（International Bank for Reconstruction and Development）
ibrotamide,,[化] 异溴米特; 异丙溴丁酰胺
ibs,,abbr. 情报库系统（Intelligent Building System）
ibsa,, [医][=immunoreactive bovine serum albumin]免疫反应的牛血清白蛋白
ibsen,n. realistic Norwegian author who wrote plays on social and political themes (1828-1906),n. 易卜生（姓氏）；易卜生（挪威戏剧作家）
ibsenian,a of or relating to or in the manner of the playwright Henrik Ibsen,a. 易卜生的
Ibsenism,,"n. 易卜生戏剧创作法, 易卜生主义"
Ibsenite,,"n. 易卜生的崇拜者, 易卜生派剧作家\na. 易卜生的"
IBT,,abbr. 新托福考试（Internet-based Testing）
ibu,,n. International Biathlon Union 国际冬季两项全能联盟
