Wac,n. a member of the Women's Army Corps\nn. an army corps that was organized in World War II but is no longer a separate branch of the United States Army,abbr. （美）陆军妇女军团（Women's Army Corps）
WACC,,abbr. 加权平均资金成本（Weighted Average Cost of Capital）
waccamaw,, [医]瓦卡茂将
Wace,,韦斯（人名）
wach,,abbr. 西非票据交换所（West African Clearing House）
Wachendorf's membrane,,"[医] 瓦肯多夫氏膜(瞳孔膜,细胞膜)"
Wachendorf's membranes,,"[医] 瓦肯多夫氏膜(瞳孔膜,细胞膜)"
Wachenheim-Reder sign,,[医] 瓦-雷二氏征(见于阑尾炎)
wachovia,,n. （美国）美联银行，又称“瓦霍维亚银行”
wachs,-s form of wach,(wach 的第三人称 -s形式) abbr. 西非票据交换所（West African Clearing House）
Wachsmuth's mixture,,[医] 瓦克斯穆特氏合剂(氯仿松脂混合物)
wachtel,, [人名] 瓦赫特尔
wachter,,n. (Wachter)人名；(法)瓦克泰；(德、匈、罗)瓦赫特
wachters,plural of wachter,(wachter 的复数) n. (Wachter)人名；(法)瓦克泰；(德、匈、罗)瓦赫特
wack,,"n. 古怪的人, 怪人, 朋友"
wackadoo,"A person who is a step beyond crazy. \r\n\n> Watch out for the one with the funny look in her eye, I hear she's a total wackadoo.\n",
wackadoodle,,怪里怪气的人（俚语）
wacke,n. Alt. of Wacky,"n. 玄武土, 玄砂石"
wacked,past participle of wack,"(wack 的过去分词) n. 古怪的人, 怪人, 朋友"
Wackenroder's solution,,[机] 瓦肯罗德尔溶液
wacker,, [人名] 瓦克尔
Wacker process,,[化] 瓦克尔法(乙烯直接氧化制乙醛法)
wackier,"s. ludicrous, foolish\ns. informal or slang terms for mentally irregular","a. 古怪的, 反常的, 疯疯癫癫的( wacky的比较级 )"
wackiest,"s. ludicrous, foolish\ns. informal or slang terms for mentally irregular","a. 古怪的, 反常的, 疯疯癫癫的( wacky的最高级 )"
wackily,r in a mildly insane manner,adv. wacky的变形
wackiness,,n. wacky的变形
wacking,-ing form of wack,"(wack 的现在分词) n. 古怪的人, 怪人, 朋友"
wacko,n a person who is regarded as eccentric or mad,"a. 古怪的, 发疯的"
wacky,"s ludicrous, foolish\ns informal or slang terms for mentally irregular",a. 古怪的
wacky baccy,, = cannabis
waco,n. a city in east central Texas,abbr. 世界空运组织（World Air Cargo Organization）
wacom,, 和冠
waconia,, [地名] [美国] 沃科尼亚
wacs,,"= Wide-Area Computing Service,广域计算业务"
wad,n. a small mass of soft material,"n. 小软团, 小软块, 一卷, 填料, 大量\nvt. 揉成一团, 填塞"
Wad Medani,,瓦德迈达尼（苏丹中东部城市）
wada,,n. (Wada)人名；(尼日利)瓦达\nabbr. 世界反兴奋剂机构（World Anti-Doping Agency）
wadable,,a. 可涉水过的
wadcutter,,冲孔型弹丸
wadd,"n. An earthy oxide of manganese, or mixture of different oxides\n   and water, with some oxide of iron, and often silica, alumina, lime, or\n   baryta; black ocher. There are several varieties.\nn. Plumbago, or black lead.","abbr. with added (costs, freight, etc. .) 增加的（成本、运费等）"
wadded,v compress into a wad\nv crowd or pack to capacity,vt. 使成一团（wad的过去式与过去分词形式）
waddel,, [人名] 沃德尔
Waddell,,沃德尔（人名）
wadden,, 潮坪
Waddenzee,,n. 瓦登海（荷兰北部的北海浅湾）
wadder,,填充物（wad的变体）\n弹塞\n炮塞（wad的变体）
wadders,plural of wadder,(wadder 的复数) 填充物（wad的变体）\n弹塞\n炮塞（wad的变体）
waddesdon,, [地名] [英国] 沃兹登
waddie,,"n. 牧童, 牛仔"
waddies,,"棍棒, <美方>牧童( waddy的名词复数 )"
wadding,n any material used especially to protect something\nv compress into a wad\nv crowd or pack to capacity,"n. 软填料, 填塞物, 填絮, 小软团\n[医] 填塞, 填料, 填塞物"
waddingham,, [人名] 沃丁厄姆; [地名] [英国] 沃丁厄姆
waddings,plural of wadding\nn any material used especially to protect something\nv compress into a wad\nv crowd or pack to capacity,"(wadding 的复数) n. 软填料, 填塞物, 填絮, 小软团\n[医] 填塞, 填料, 填塞物"
Waddington,,n. (Waddington)人名；(英)沃丁顿
Waddingtons,plural of Waddington,(Waddington 的复数) n. (Waddington)人名；(英)沃丁顿
waddle,n. walking with short steps and the weight tilting from one foot to the other,"vi. 摇摇摆摆地走, 蹒跚而行\nn. 蹒跚"
waddled,imp. & p. p. of Waddle,v. （像鸭子一样）摇摇摆摆地走( waddle的过去式和过去分词 )
waddler,"n. One who, or that which, waddles.",n. 蹒跚；摇摆的步子 (waddle的变形)
waddles,n walking with short steps and the weight tilting from one foot to the other\nv walk unsteadily,v. （像鸭子一样）摇摇摆摆地走( waddle的第三人称单数 )
waddling,p. pr. & vb. n. of Waddle,v. （像鸭子一样）摇摇摆摆地走( waddle的现在分词 )
waddling gait,,[医] 鸭步[态]
waddlingly,adv. In a waddling manner.,adv. 摇摇摆摆地
waddlington,, [人名] 沃丁顿
waddy,,"n. 棍棒, 手杖, 牧工\nvt. 用棍棒打"
wade,n. English tennis player who won many women's singles titles (born in 1945)\nv. walk (through relatively shallow water),"vi. 跋涉\nvt. 涉水\nn. 跋涉, 浅滩"
wade across,,"跋涉通过,趟水穿过"
wade in,,"介入, 猛烈攻击, 插手"
wade into,,猛烈攻击
wade through,,"跋涉通过,趟水穿过,吃力地通过,费力地读完"
wade through slaughter to,,通过血腥手段达到…
wade through sth,,费力地完成
Wade's balsam,,"[医] 韦德氏香脂, 复方安息香酊"
Wade's snppositories,,[医] 韦德氏栓(一种尿道栓)
Wade's suppositories,,"[医] 韦德氏栓, 尿道栓"
Wade's urethral suppositories,,[医] 韦德氏尿道栓
wade-in,,n. (黑人为抗议种族歧视而在白人专用的海滩或游泳池举行的)涉水示威
wadeable,,a. 可涉水过的
waded,imp. & p. p. of Wad\nimp. & p. p. of Wade,"v. （从水、泥等）蹚, 走过, 跋( wade的过去式和过去分词 )"
wadeing,-ing form of wade\nn. English tennis player who won many women's singles titles (born in 1945)\nv. walk (through relatively shallow water),"(wade 的现在分词) vi. 跋涉\nvt. 涉水\nn. 跋涉, 浅滩"
wadeite,,钾钙板锆石
wader,n any of many long-legged birds that wade in water in search of food,"n. 涉水者, 涉禽, 高统防水长靴"
waders,n. waterproof hip boots (sometimes extending to the chest) worn by anglers\nn. any of many long-legged birds that wade in water in search of food,"n. 长统防水胶靴; 跋涉者, 涉禽类, 钓鱼用的防水长靴( wader的复数形式 )"
wades,n English tennis player who won many women's singles titles (born in 1945)\nv walk (through relatively shallow water)\nv compress into a wad\nv crowd or pack to capacity,"v. （从水、泥等）蹚, 走过, 跋( wade的第三人称单数 )"
wadesboro,, [地名] [美国] 沃兹伯勒
wadham,, [人名] [英格兰人姓氏] 沃德姆住所名称，可能来源于古英语人名Wada+古英语，含义是“宅地”(homestead)
wadi,n. gully or streambed in northern Africa and the Middle East that remains dry except during rainy season,"n. 干河床, 河道, 干谷, 流经干谷的溪流"
wadies,pl.  of Wady,n. 干谷( wady的名词复数 )
wading,n. walking with your feet in shallow water,a. 涉水的
wading bird,,"n. 涉水鸟,涉禽"
wading pool,,浅水池
wadis,n. gully or streambed in northern Africa and the Middle East that remains dry except during rainy season,n. 干涸河道( wadi的复数形式 ); 旱谷; 溪流; 多岩石的干涸河床
wadite,,锰土
wadleigh,, [人名] 沃德利
wadley,, [人名] 沃德利; [地名] [美国] 沃德利
wadmal,,n. (旧时不列颠诸岛和北欧乡下人穿的) 瓦德麦尔呢
wadmol,,n. 【纺织业】瓦德麦尔呢(重厚拉毛粗纺毛织物)
wadna,,<苏格兰> = would not
wadowice,, [地名] [波兰] 瓦多维采
wads,n a large number or amount\nn a small mass of soft material\nn (often followed by `of') a large number or amount or extent\nn a wad of something chewable as tobacco\nv compress into a wad\nv crowd or pack to capacity,n. 一卷( wad的名词复数 ); 一叠; 小块软物; <美><口>大量（尤指金钱）
wadset,n. A kind of pledge or mortgage.,"vt.[律]抵押, 典当"
wadsetter,n. One who holds by a wadset.,"n. 抵押人, 典当人; 承受抵押者, 受押权人"
Wadsworth,,沃兹沃思
Wadsworth's method,,[医] 华兹沃斯氏法(染细菌荚膜)
wady,"n. A ravine through which a brook flows; the channel of a water\n   course, which is dry except in the rainy season.",n. (沙漠中的)绿洲
wae,n. A wave.,n. & int.<英方> = woe
waechter,, [人名] 韦克特
Waeing blender,,[医] 华林氏搅拌器
waer and tear,,"[经] 擦损, 损耗"
waes,,abbr. Workshop on Alternative Energy Strategies 代用能源策略的工厂
waesucks,,"int. <苏格兰>[表示悲痛、遗憾]哎呀,唉(亦作waesuck)"
Waf,,[美]空军妇女队成员
Wafd,,"n. 华夫脱党,埃及国民党"
wafer,n. a small adhesive disk of paste; used to seal letters\nn. a small thin crisp cake or cookie\nn. thin disk of unleavened bread used in a religious service (especially in the celebration of the Eucharist),"n. 薄酥饼, 圣饼, 晶片, 圆片, 干胶片\nvt. 用干胶片封\n[计] 圆片"
wafer core,,[机] 缩颈砂心
wafer lever switch,,[电] 金属箔拉杆开关
wafer matrix,,[计] 圆片矩阵
wafer process,,[计] 园片加工
wafer silicon integration,,[计] 圆片硅集成
wafer socket,,[电] 晶片插座
wafer switch,,[电] 晶片开关
wafer test,,[计] 圆片测试
wafer transistor,,[计] 圆片晶体管
wafer-like,s resembling a thin crisp wafer,似薄脆饼
wafer-thin,s very thin\nr very thin,"a. 极薄的, 很薄的"
wafered,imp. & p. p. of Wafer,v. （用封信条）封（信封等）( wafer的过去式 )
waferer,n. A dealer in the cakes called wafers; a confectioner.," 压片机, 切片机"
wafering,p. pr. & vb. n. of Wafer,[计] 切片\n[化] 压扁
wafers,n. a small adhesive disk of paste; used to seal letters\nn. a small thin crisp cake or cookie\nn. thin disk of unleavened bread used in a religious service (especially in the celebration of the Eucharist),n. 封信条( wafer的复数形式 ); 薄脆饼; <电>薄片; 圣饼
wafery,,"a. 像薄饼似的, 极薄的"
waff,,"(作为信号的)挥动, 流浪汉, 没有价值的"
waffie,,"n. <苏格兰>流浪者,漂泊者"
waffle,n. pancake batter baked in a waffle iron,"vi. 胡扯, 闲聊\nn. 华夫饼干, 胡扯\n[计] Waffle程序"
waffle iron,, 对开式铁心
waffled,v pause or hold back in uncertainty or unwillingness,"v. 讲或写冗长而无意义的话, 唠叨( waffle的过去式和过去分词 )"
waffler,n. someone who speaks or writes in a vague and evasive manner,n. 华夫饼干；动听而无意义的话；无聊话 (waffle的变形)\nn. (Waffler)人名；(德、罗)瓦夫勒
wafflers,plural of waffler,(waffler 的复数) n. 华夫饼干；动听而无意义的话；无聊话 (waffle的变形)\nn. (Waffler)人名；(德、罗)瓦夫勒
waffles,n pancake batter baked in a waffle iron\nv pause or hold back in uncertainty or unwillingness,"n. 蛋奶烘饼( waffle的名词复数 ); 华夫饼; 无聊话; 含糊的话\nv. 讲或写冗长而无意义的话, 唠叨( waffle的第三人称单数 )"
wafflestompers,,[复] n.宽底旅行鞋
waffling,v pause or hold back in uncertainty or unwillingness,"v. 讲或写冗长而无意义的话, 唠叨( waffle的现在分词 )"
wafs,,abbr. Women5s Auxiliary Ferrying Squadron<美>妇女辅助渡运中队
waft,"v. be driven or carried along, as by the air\nv. blow gently","vt. 随风传送, 使飘荡\nvi. 飘荡\nn. 吹拂, 飘荡"
waftage,"n. Conveyance on a buoyant medium, as air or water.","n. 随风传送, 飘荡"
wafted,imp. & p. p. of Waft,"v. 吹送, 飘送, （使）浮动( waft的过去式和过去分词 )"
wafter,"n. One who, or that which, wafts.\nn. A boat for passage.",n. 转盘风扇
wafters,"plural of wafter\nn. One who, or that which, wafts.\nn. A boat for passage.",(wafter 的复数) n. 转盘风扇
wafting,p. pr. & vb. n. of Waft,"v. 吹送, 飘送, （使）浮动( waft的现在分词 )"
wafts,"n a long flag; often tapering\nv be driven or carried along, as by the air\nv blow gently","n. 空中飘来的气味, 一阵气味( waft的名词复数 ); 摇转风扇\nv. 吹送, 飘送, （使）浮动( waft的第三人称单数 )"
wafture,n the act of signaling by a movement of the hand,"飘荡[浮], 飘送"
wag,n. a witty amusing person who makes jokes\nn. causing to move repeatedly from side to side\nv. move from side to side,"vt. 摇摆, 摇动, 饶舌\nvi. 摆动, 喋喋不休\nn. 摇摆, 爱说笑打趣的人"
wag from side to side,,左右摇摆
wag it,,"逃学,偷懒"
wag one's chin,,"闲谈, 唠叨"
wag one's jaw,,喋喋不休
wag one's tongue,,唠叨不休
wag the feather,,炫耀自己的荣誉
waga,, [地名] [坦桑尼亚] 瓦加
wagaga,,[医] 丝虫病(斐济群岛的土名)
wage,n. something that remunerates,"n. 工资, 报应, 报偿\nvt. 开展, 进行\nvi. 进行"
wage a fight,,展开斗争
wage a struggle against,,与…展开斗争
wage advance plan,,[经] 预付工资制
wage and hour law,,[经] 工资和小时法
wage and salaries book,,"[经] 工薪帐, 工资和资金帐"
wage and salary administration,,[经] 工薪管理
wage and salary control,,[经] 工薪控制
wage assignment,,[法] 工资转让
wage audit,,[经] 工资审查
wage board system,,[经] 工资委员会制
wage book,,[经] 工资簿
wage ceiling,,[经] 最高工资限额
wage claim,,工资要求
wage concession,,[网络] 工资让步
wage day,,[经] 发工资日
wage demand,,[经] 工资要求
wage determination,,[经] 工资决定
wage differential,,[法] 工资差别
wage differentials,,[经] 工资差别
wage disparity,,[经] 工资差别
wage dividend,,[经] 工资股利
wage earner,,"劳动者, 靠工资为生的人\n[经] 靠工资为生的人, 雇佣劳动者"
wage earners,,"工资劳动者,雇佣劳动者"
wage exponent,,[经] 工资指数
wage floor,,adj. 基本工资\n[网络] 工资下限；工资底限；最低工资
wage for piecework,,[法] 计件工资
wage freeze,,工资冻结\n[经] 工资冻结
wage fund,,[经] 工资基金
wage garnishments,,[经] 扣发工资
wage grade,,[法] 工资级别
wage hike,,"[法] 提高工资, 加薪"
wage in kind,,[经] 实物工资
wage in sliding scale,,[经] 浮动工资
wage incentive,,[经] 奖励工资
wage including tax,,[经] 抱括税金的工资
wage increase,, [财]工资增加; 调资
wage index,,[法] 工资指数
wage index number,,[经] 工资指数
wage inflation,,[经] 工资膨胀
wage labour,,[法] 雇佣劳动
wage level,,"[经] 工资标准, 工资水准"
wage of management,,[经] 管理阶层工资
wage of superintendence,,"[经] 企业(部门,机关等)负责人工资"
wage packet,,工资袋
wage pattern,,[法] 标准工资等级
wage payment plan,,[经] 工资支付计划
wage plan,,[经] 工资计划
wage policy,,[经] 工资政策
wage problem,,[经] 工资问题
wage rate,,[经] 工资率
wage rate record,,[经] 工资率表
wage rate variance,,[经] 工资率差异
wage scale,,"工资等级, 工资级别\n[经] 工资等级"
wage schedule,,un. 工资表\n[网络] 两种工人的薪资如下列表格；薪资调整
wage scheme,,"[经] 工资方案, 工资计划"
wage setter,,[网络] 工资设定者
wage slave,,"工资奴隶, 雇佣劳动者"
wage standard,,[经] 工资标准
wage structure,,[经] 工资结构
wage sysem,,[法] 工资制度
wage system,,[经] 工资制度
wage trend line,,[经] 工资趋势线
wage war on,,对…开战
wage war upon,,"对...进行战争, 向...开战"
wage-cost,,[工经] 工资成本；工资开支
wage-costs,-s form of wage-cost,(wage-cost 的第三人称 -s形式) [工经] 工资成本；工资开支
wage-cut,,削减工资\n降低工资
wage-cuts,plural of wage-cut,(wage-cut 的复数) 削减工资\n降低工资
wage-earner,,"n. 工薪族, 工薪阶层（者）, 靠工资生活的人"
wage-earners,plural of wage-earner,"(wage-earner 的复数) n. 工薪族, 工薪阶层（者）, 靠工资生活的人"
wage-earning,,adj. 工资收入
wage-freeze,,[劳经] 工资冻结
wage-freezes,plural of wage-freeze,(wage-freeze 的复数) [劳经] 工资冻结
wage-fund,,n. 工资基金\n[法] 工资基金
wage-packet,,工资袋
wage-packets,plural of wage-packet,(wage-packet 的复数) 工资袋
wage-price,,[法] 工资和物价关系的
wage-price-tax spiral,,[法] 工资一物价一捐税螺旋
wage-push,,[经] 增加工资引起的
wage-slave,,工资奴隶
wage-slaves,plural of wage-slave,(wage-slave 的复数) 工资奴隶
wage-worker,,工资劳动者
wage-workers,plural of wage-worker,(wage-worker 的复数) 工资劳动者
waged,"v carry on (wars, battles, or campaigns)\nv move from side to side",a. 有职业的；有工作的；支付工资的
wageless,,"a. wage的变形；无工资收入的, 无工资的"
wagen,,n. 车辆；轻便马车；滑鞍；敢于
wagener,, [人名] 瓦格纳; [地名] [美国] 瓦格纳
wageningen,, [地名] [荷兰、苏里南] 瓦赫宁恩
wager,n the act of gambling\nn the money risked on a gamble\nv stake on the outcome of an issue\nv maintain with or as if with a bet,"n. 赌注, 赌博, 赌物\nvt. 下赌注, 向...保证\nvi. 打赌"
wager of battle,,"决斗请求, 决斗断讼法\n[法] 决斗断讼法"
wager policy,,[法] 彩票
wagered,imp. & p. p. of Wager,"v. 在（某物）上赌钱, 打赌( wager的过去式和过去分词 ); 保证, 担保"
wagerer,"n. One who wagers, or lays a bet.",n. 赌注；赌博；赌物 (wager的变形)
wagering,v stake on the outcome of an issue\nv maintain with or as if with a bet,"v. 在（某物）上赌钱, 打赌( wager的现在分词 ); 保证, 担保"
wagering contract,,"[法] 打赌契约, 射幸契约"
wagers,n the act of gambling\nn the money risked on a gamble\nv stake on the outcome of an issue\nv maintain with or as if with a bet,"n. 赌注, 用钱打赌( wager的名词复数 )\nv. 在（某物）上赌钱, 打赌( wager的第三人称单数 ); 保证, 担保"
wages,n. a recompense for worthy acts or retribution for wrongdoing,"n. 工资, 报酬, 薪金, 工钱, 报应, 报答, 年产额\n[化] 工资"
wages account,,[经] 工资帐
wages allocation sheet,,[经] 工资分配表
wages analysis,,[经] 工资分析
wages and salaries account,,[经] 工资帐户
wages and salaries payable,,[经] 应付工薪
wages control accpunt,,[经] 工资控制帐户
wages for workmen,,[经] 工人工资
wages sheet,,[经] 工资表
wages stabilization,,[经] 工资稳定
wages summary,,[经] 工资汇总表
wages-fund,,n. 工资基金
wageworker,,"n. 工人,劳动者,靠工资为生的人"
wagg,, [人名] 瓦格
Wagga,,"n. [亦作 w-]<澳俚>(把麻袋拆开后缝制而成的)麻袋毯子, 麻袋地毯, 麻袋床罩"
Wagga Wagga,,[网络] 沃加沃加；沃加沃加东部；沃加沃加市
wagged,imp. & p. p. of Wag,"v. （使）摇动, 摇摆( wag的过去式和过去分词 )"
wagger,,n. wag的变形
waggeries,pl.  of Waggery,n. 滑稽( waggery的名词复数 )
waggery,n. waggish behavior,"n. 开玩笑, 玩弄恶作剧, 诙谐, 笑话"
waggiest,superlative of waggy,(waggy 的最高级)  爱摆动
wagging,v move from side to side,"a. 摇动的, 摆动的"
wagging dance,,"摇摆舞,摆尾舞"
waggings,plural of wagging\nv move from side to side,"(wagging 的复数) adj. 摇动的, 摆动的"
waggish,s. witty or joking,"a. 爱开玩笑的, 诙谐的"
waggishly,r in a waggish manner,"adv. waggish（滑稽的, 诙谐的）的变形"
waggishness,n. waggish behavior,n. waggish的变形
waggle,n causing to move repeatedly from side to side\nv move from side to side\nv move unsteadily or with a weaving or rolling motion,"v. (使)不停地来回摇动, 摇摆\nn. 摇动, 摇摆"
waggled,imp. & p. p. of Waggle,v. <口>来回摇摆( waggle的过去式和过去分词 )
waggles,n causing to move repeatedly from side to side\nv move from side to side\nv move unsteadily or with a weaving or rolling motion,v. <口>来回摇摆( waggle的第三人称单数 )
waggling,p. pr. & vb. n. of Waggle,v. <口>来回摇摆( waggle的现在分词 )
waggly,,摇摇晃晃的
waggon,n any of various kinds of wheeled vehicles drawn by an animal or a tractor\nn a car that has a long body and rear door with space behind rear seat,"n. 运货车, 四轮运货马车, (英)铁路货车, 流动服务车, 小型客车, 囚车, 童车"
waggonage,,n. <主英> = wagonage
waggoned,past tense of waggon\nn any of various kinds of wheeled vehicles drawn by an animal or a tractor\nn a car that has a long body and rear door with space behind rear seat,"(waggon 的过去时) n. 运货车, 四轮运货马车, (英)铁路货车, 流动服务车, 小型客车, 囚车, 童车"
waggoner,n. the driver of a wagon,n. 御夫（星）座\n [人名] 瓦戈纳
waggoners,plural of waggoner,(waggoner 的复数) n. 御夫（星）座\n [人名] 瓦戈纳
waggonette,,n. <主英> = wagonette
waggoning,-ing form of waggon\nn any of various kinds of wheeled vehicles drawn by an animal or a tractor\nn a car that has a long body and rear door with space behind rear seat,"(waggon 的现在分词) n. 运货车, 四轮运货马车, (英)铁路货车, 流动服务车, 小型客车, 囚车, 童车"
waggonload,,n. 一货车的货物
waggons,plural of waggon\nn any of various kinds of wheeled vehicles drawn by an animal or a tractor\nn a car that has a long body and rear door with space behind rear seat,"(waggon 的复数) n. 运货车, 四轮运货马车, (英)铁路货车, 流动服务车, 小型客车, 囚车, 童车"
waggy,, 爱摆动
waghorn,," [人名] [英格兰人、苏格兰人姓氏] 瓦格霍恩可能是职业名称, 吹号角者, 来源于中世纪英语, 含义是“摇动+号角”(to shake+horn)"
waghorns,-s form of waghorn,"(waghorn 的第三人称 -s形式)  [人名] [英格兰人、苏格兰人姓氏] 瓦格霍恩可能是职业名称, 吹号角者, 来源于中世纪英语, 含义是“摇动+号角”(to shake+horn)"
waging,p. pr. & vb. n. of Wage,v. 开始( wage的现在分词 ); 发动; 进行; 继续（战争、战斗等）
wagman,, [人名] 韦格曼
wagner,n. Austrian architect and pioneer of modern architecture (1841-1918)\nn. German composer of operas and inventor of the musical drama in which drama and spectacle and music are fused (1813-1883)\nn. the music of Wagner,[电] 瓦格纳接地法
wagner ground,,[电] 瓦格纳接地法
Wagner von Jauregg,,"瓦格纳-若雷格(Julius, 1857-1940, 奥地利医学家, 曾获1927年诺贝尔生理学-医学奖)"
Wagner's corpuscles,,"[医] 华格纳氏小体, 触觉小体"
Wagner's disease,,[医] 胶样粟粒疹
Wagner's hammer,,[医] 华格纳氏锤(电流启闭锤)
Wagner's line,,[医] 华格纳氏线(骨骺线)
Wagner's operation,,[医] 华格纳氏手术(颅骨造形性切除术)
Wagner's reagent,,[机] 瓦格纳试剂
Wagner's solution,,[机] 瓦格纳试剂
Wagner's spot,,"[医] 华格纳氏点, 胚点"
Wagner's test,,[医] 华格纳氏试验(检潜血)
Wagner's theory,,[医] 华格纳氏学说(移行学说)
Wagner-Jauregg treatment,,[医] 华格纳·约雷格氏疗法(麻痹性痴呆的疟原虫接种疗法)
Wagner-Meerwein rearrangement,,[化] 瓦格纳-米尔温重排
Wagnerian,n. a follower of the theories or an admirer of the music of Richard Wagner\na. of or relating to Richard Wagner or his music,"(德国歌剧家、作曲家)瓦格纳作风的, 作曲家瓦格纳的崇拜者[门徒]"
Wagnerism,,"n. (德国作曲家)瓦格纳创作理论(或实践), 瓦格纳音乐和理论的影响"
Wagnerite,"n. A fluophosphate of magnesia, occurring in yellowish\n   crystals, and also in massive forms.",n. (德国作曲家)瓦格纳的崇拜(或追随)者
wagon,n. any of various kinds of wheeled vehicles drawn by an animal or a tractor\nn. a child's four-wheeled toy cart sometimes used for coasting,"n. 四轮马车, 货车\n[法] 囚车, 马车, 运货车"
wagon boss,,[法] 囚车指挥官
wagon box,,[化] 车箱
wagon master,, [电影]原野神驹
wagon memory,,"[计] 堆栈存储器, 后进先出存储器"
wagon soldier,,野战砲兵
wagon tire,,un. 拖车轮胎
wagon train,,"车队,护送车队,辎重车队"
wagon wheel,,un. 货车轮\n[网络] 货车车轮；车轮酒吧；马车车轮
wagon works,,[化] 车辆厂
wagon-lit,n. a passenger car that has berths for sleeping,n. （欧洲铁路的）卧车
wagon-lits,plural of wagon-lit,(wagon-lit 的复数) n. （欧洲铁路的）卧车
wagon-load,,"n. 货车载荷, 马车载荷"
wagon-loads,plural of wagon-load,"(wagon-load 的复数) n. 货车载荷, 马车载荷"
wagonage,"n. Money paid for carriage or conveyance in wagon.\nn. A collection of wagons; wagons, collectively.","n. 运货车运输费, 运货车\n[法] 运货车运输, 运货马车"
