word,definition,translation
m-nitrochlorobenzene,,[化] 间硝基氯苯
m-nitrophenol,,[化] 间硝基苯酚
m-nitrotoluene,,[化] 间硝基甲苯
m-out-of n code,,[电] 由N得M电码
m-out-of-n code checker,,[计] n中取m码检查器
m-p,,abbr. metal-point 金属点
m-path,,"[计] 多通路, 多路径"
m-phenylenediamine,,[化] 间苯二胺
m-ps,plural of m-p,(m-p 的复数) abbr. metal-point 金属点
M-reactive dye,,[化] M型反应染料; M型活性染料
M-reactive dyes,,[化] M型反应染料; M型活性染料
m-s,,abbr. minerals separation 选矿; Monday through Saturday 周一到周六; master-slave (flip-flop) 主-从（触发器）; Material Service (division of General Dynamics) 物资服务部（普通力学分科）
m-scan,,[电] M型扫描
M-theory,,n. M理论\n[网络] 膜理论；大统一理论；说的膜理论
m-toluidine,,[化] 间甲苯胺
m-tolunitrile,,[化] 间甲苯基氰
m-type,, m型
m-type backward-wave oscillator,,[电] M型反向波振荡器
m-type carcinotron,,[电] M型返波振荡器
m-wave,, M波
m-way,,abbr. Motorway 汽车道
m-ways,plural of m-way,(m-way 的复数) abbr. Motorway 汽车道
m-xylene,,[化] 间二甲苯
M. A.,,"[医] 智力年龄, 米角, 公尺角"
M. A. M.,,[医] 毫安[培]分
m. b,,"[医] 混合均匀, 混匀"
M. C.,,[医] 医疗队(部分中的)
M. D. A.,,"[医] 电动甄别敏度, 右颏前位(胎儿)"
M. D. P.,,[医] 右颏后位(胎儿)
M. D. T.,,[医] 右颏前位(胎儿)
M. E. D.,,"[医] 最小红斑量, 最小有效量"
M. et sig.,,"[医] 混合, 写明用法"
m. f. d.,,[医] 微法[拉]
M. flac.,,"[医] 松驰膜, 鼓膜松驰部"
M. ft.,,[医] 制成合剂
M. H. D.,,[医] 最小溶血量
M. I. D.,,[医] 最小感染量
M. I. O.,,[医] 最低可嗅度
M. J. Schleiden,,[网络] J. Schleiden先生
M. L.,,[医] 正中线
M. L. A.,,[医] 左颏前位
M. L. D.,,[医] 最小致死量
M. L. P.,,[医] 左颏后位
M. L. T.,,[医] 左颏横位
M. M.,,[医] 粘膜
M. P.,,[医] 近中髓的
M. R. D.,,[医] 最小反应量
M. u.,,[医] 马谢氏单位(镭射气浓度单位)
M. V.,,[医] 兽医[师]
M.A.,,"文学硕士, 文科硕士"
M.A.D.,,[医] 甲基雄甾酮
M.a.s,plural of M.A.,"(M.A. 的复数) 文学硕士, 文科硕士"
M.B.,,医学士
M.D.,,医学博士
M.G.offset paper,,[化] 单面胶版纸
M.G.wrapping paper,,[化] 鸡皮纸
M.K.S. units,,[医] 米千克秒制单位
M.M.,,abbr. 〈英(=Military Medal)军功章\n[网络] 硕士；临床医学硕士；音乐硕士
M.S. mixture,,[医] 乙醚氯仿合剂
M.S.L.,,[医] 胸骨中线
M.Sc.,,理科硕士
M.T.,,[医] 医学技术员
m/d,,"存款单, 送款单"
m/min,, [医][=meter per minute]米/分
m1,n. a measure of the money supply; includes currency in circulation plus demand deposits or checking account balances,n. 货币供应量
m2,n. a measure of the money supply; M1 plus net time deposits (other than large certificates of deposit),[经] 货币供应量
m3,n. a measure of the money supply; M2 plus deposits at institutions that are not banks (such as savings and loan associations),abbr. 马自达3（轿车名）
MA,n. informal terms for a mother,"n. 妈\n[计] 存储器地址, 多路存取"
ma foi,, 真实!一定的! 天啊!; 我担保! 我发誓!
ma huang,, [医]麻黄
ma mie,,abbr. 内插法和外推法用的微型自动机（Minimum Automatic Machine for Interpolation and Extrapolation）
ma non troppo,,[意][音]但不可过度
ma'am,n a woman of refinement,"n. 夫人, 女王, 公主"
ma'ams,plural of ma'am\nn a woman of refinement,"(ma'am 的复数) n. 夫人, 女王, 公主"
ma-and-pa,,"夫妻经营的;小规模经营的 [mom-and-pop, mom and pop 的异体字]"
Ma. S.,,[医] 毫安[培]秒
maa,"n. The common European gull (Larus canus); -- called also mar.\n   See New, a gull.",abbr. 美国数学学会（Mathematical Association of America）；任务区分析区（Mission Area Analysis）；甲基胂酸（methanearsonic acid）；（美）飞机制造商协会（Manufacturers of Aircraft Association）
maaa,,abbr. Metropolitan Area Apparel Association 大都市的衣服协会
maac,, [医]Medical Assistance Advisory Council 医学援助咨询委员会，modified artifical anterior chamber 改良的人工前房
Maackia,,马鞍树属
maackiain,,高丽槐素
maacl,,abbr. mean affect adjective check list 平均情感形容词清单; multiple affect adjective check list 多重情感形容词清单
Maadox prism,,[医] 马德克斯氏棱镜(检眼球)
maag,,abbr. Military Assistance Advisory Group 军事援助顾问团
maag gear citter,,[机] Maag式切齿机
maakite,,冰盐
maaliene,,马榄烯
maaliol,,马榄醇
maalox,n an antacid,氢氧化铝、氢氧化镁混合物
maam,,abbr. 异丁烯酰胺（methacrylamide）
maan,,abbr. Much Ado About Nothing 无关紧要的许多纷扰; Mutual Advertising Agency Network 相互广告代理网络
maana,, 在将来某时；在以后的不确定时间
Maander,,迈恩德短横直导辊水洗机
maanhaar,,[网络] 马哈拉
maar,n. a flat-bottomed volcanic crater that was formed by an explosion; often filled with water,n. 低平火山口；小火山口
maarad,,[纺]马阿拉埃及棉
Maarianhamina,,[网络] 马良哈米纳；玛丽港；奥兰省
maariv,,[网络] 晚报；晚祷；晚祷报
maars,plural of maar\nn. a flat-bottomed volcanic crater that was formed by an explosion; often filled with water,(maar 的复数) n. 低平火山口；小火山口
Maas,,马斯河[西欧](上游为默兹河)
maass,, [人名] 马斯
Maastricht,,n. 马斯特里赫特（荷兰东南部城市）
Maastrichtian,,麦斯里希特阶
Maat,a. Dejected; sorrowful; downcast.,[宗]真理正义之神
Maatschappij,,[网络] 公司
maazel,, [人名] 马策尔
MAB,,[计] 内存分配块
mabalane,,[网络] 马巴拉内
mabbott,, [人名] 马博特
MABE,,abbr.Master of Agricultural Business and Economics农业经营和经济学硕士 \nn. 人工养殖的珍珠(亦作mabe pearl)
mabe pearl,, 人工养殖的珍珠
mabee,, [人名] 梅比
mabel,,n. 梅布尔（女子名）
mabela,,n. <南非>南非高粱粉(用以煮粥)
mabelle,,n. 玛贝尔（钻饰有限公司）
maben,, [人名] 梅本
mabey,, [人名] 梅比
mabie,,abbr. Multistage Agitated-bed Ion-exchange 多级搅拌床离子交换
mabinogion,, 马比诺吉昂
mable,,abbr. miniature automatic base line equipment 小型自动基线设备
mabley,, [人名] 马布利
mabo,,abbr. Marianas-Bonin 马里亚纳群岛-小笠原群岛（岛屿）
mabon,, [人名] 梅本
mabry,, [人名] 马布里
Mabs,,abbr. 单克隆抗体（Monoclonal antibodies）；机械式防抱死制动系统（Mechanical Anti-locked Braking System）；甲基丙烯酸甲酯―丙烯腈―丁二烯―苯乙烯塑料；高速交换的模块化体系结构（Modular Architecture Based on Switch）；苯乙烯
mabus,,abbr. multiaccess broadcast unit system 多址广播系统
mabuya,, [医]南石蜥属
mabyer,,幼母鸡
mac,n a waterproof raincoat made of rubberized fabric,"n. 防水胶布, (英)雨衣, 老兄, 老弟\n[计] 宏, 多路存取计算机, 苹果公司的微机"
Mac Pherson,,麦克弗森(姓氏)
MAC sublayer,,[计] 介质访问控制子层
Mac-Mahon,,n. (MacMahon)人名；(英)麦克马洪
Mac.,,"[医] 浸渍, 浸软"
maca,,n. (Maca)人名；(捷)马察；(罗)马卡\nabbr. 海上空中交通管制局（Maritime Air Control Authority）；避免冲突的多路访问（multiple access with collision avoidance）
macaasim,,(=makaasim)马克新树
Macabeo,,[网络] 马卡贝奥；马卡贝奥葡萄；马家婆
macaber,,a. 恐怖的；死亡舞蹈的
macabre,s shockingly repellent; inspiring horror,"a. 以死亡为主题的, 可怕的"
macabuhay,,[医] 绉叶蝙蝠葛
Macaca,n macaques; rhesus monkeys,[医] 猕猴属
Macaca irus,,[网络] 食蟹猕猴
Macaca mulatta,,[网络] 猕猴；恒河猴；普通猕猴
Macaca radiata,,[网络] 冠毛猕猴；帽猕猴；群和帽猴
Macaca rhesus,,[医] 恒河猴
Macaca sylvana,,[网络] 地中海猕猴；地中海狝猴
macaco,"n. Any one of several species of lemurs, as the ruffed lemur\n   (Lemur macaco), and the ring-tailed lemur (L. catta).",n. 狐猴
Macacus,"n. A genus of monkeys, found in Asia and the East Indies.\n   They have short tails and prominent eyebrows.",[医] 猕猴属
macacus ear,,[医] 猕猴耳
macadam,n. broken stone used in macadamized roadways,"n. 碎石, 碎石路"
macadamia,n. any tree of the genus Macadamia,n. 〈植〉澳大利亚坚果
Macadamia integrifolia,,[网络] 澳洲坚果；全缘叶澳洲坚果；澳洲栗
macadamia nut,," 澳洲坚果, 夏威夷坚果"
macadamia nut tree,,[网络] 澳洲坚果树
Macadamia ternifolia,,[网络] 澳洲胡桃；澳洲栗；澳洲坚果
Macadamia tetraphylla,,[网络] 四叶澳洲坚果；大洋洲坚果；夏威夷果
macadamia tree,,[网络] 澳洲坚果
macadamise,v surface with macadam,vt. [英国英语] ＝ macadamize
macadamization,n. The process or act of macadamizing.,"n. 筑碎石路, 碎石筑路法"
macadamize,v. surface with macadam,vt. 以碎石铺
macadamized,imp. & p. p. of Macadamize,"v. 简易地铺装, 以碎石铺( macadamize的过去式和过去分词 )"
macadamizes,v surface with macadam,"v. 简易地铺装, 以碎石铺( macadamize的第三人称单数 )"
macadamizing,p. pr. & vb. n. of Macadamize,"v. 简易地铺装, 以碎石铺( macadamize的现在分词 )"
macadams,plural of macadam\nn. broken stone used in macadamized roadways,"(macadam 的复数) n. 碎石, 碎石路"
macagy,, [人名] 麦卡吉
Macaist,,[网络] Mac。师
macaja,,[医] 马卡牙油
macalester,, [人名] 麦卡莱斯特
macalister,, [人名] 麦卡利斯特
macallan,, [人名] 麦卡伦
macalline,,[医] 马卡罗硷
macallister,, [人名] 麦卡利斯特
macalpine,, [人名] 麦卡尔平
macaluba,,"[地质]马卡鲁巴式火山, 泥火山"
macamba,,[网络] 黄瓜
macan,, [人名] 麦坎
macana,,[英]默卡纳彩格平纹棉布
macandrew,, [人名] 麦克安德鲁
macandrews,, [人名] 麦克安德鲁斯
Macanese,,n. 澳门人
Macao,n. a former Portuguese province on the south coast of China and two islands in the South China Sea; reverted to China in 1999,n. 澳门
Macao monetary unit,,[网络] 澳门货币单位
macaque,n. short-tailed monkey of rocky regions of Asia and Africa,n. 猕猴
macaques,plural of macaque\nn. short-tailed monkey of rocky regions of Asia and Africa,(macaque 的复数) n. 猕猴
Macaranga,,血桐属
macarbomycin,,大炭霉素
macarena,,n. 赛前舞（预祝胜利）
macario,,n. (Macario)人名；(意、西、英)马卡里奥
macaroncelli,,"细管状通心粉, 长条形夹心糖果, 细条饼干"
macaroni,n. a British dandy in the 18th century who affected Continental mannerisms\nn. pasta in the form of slender tubes,"n. 通心面, 纨绔子弟"
macaroni and cheese,,[网络] 起司通心粉；通心粉和奶酪；奶酪通心粉
macaroni cheese,,n. 干酪通心粉；芝士意面
macaroni salad,,[网络] 通心粉沙律；通心粉沙拉；凉拌空心面
macaroni wheat,, 制通心粉用小麦
macaroni-eating,,a. 吃通心面的
macaronic,a. of or containing a mixture of Latin words and vernacular words jumbled together,a. 两种语言混合的\nn. 两种语言混合的诗文
macaronies,pl.  of Macaroni,"n. 意大利粉, 通心面( macaroni的名词复数 ); 通心粉"
macaronis,pl.  of Macaroni,"n. 意大利粉, 通心面( macaroni的名词复数 ); 通心粉"
macaroon,n. chewy cookie usually containing almond paste,n. 蛋白杏仁饼干
macaroons,n. chewy cookie usually containing almond paste,n. 蛋白杏仁饼干
MacArthur,n. United States general who served as chief of staff and commanded Allied forces in the South Pacific during World War II; he accepted the surrender of Japan (1880-1964),n. 麦克阿瑟(美国五星上将)
macartney,n. A fire-backed pheasant. See Fireback., [人名] 麦卡特尼
macas,,abbr. Magnetic Capability and Safety System 磁能量和安全系统
macaskill,, [人名] 麦卡斯基尔
Macasphalt,,马克地沥青混合料
Macassar,,望加锡头(发)油
Macassared,,"望加锡(印度尼西亚苏拉威西岛南部海港)[Ujung Pandang乌戎潘当的旧称,亦作Makassar, Makasar]"
macau,n a former Portuguese province on the south coast of China and two islands in the South China Sea; reverted to China in 1999,n. 澳门（中国地名）
Macaulay,n. English historian noted for his history of England (1800-1859),麦考利(姓氏)
Macauley,,n. (Macauley)人名；(英)麦考利
macausland,, [人名] 麦考斯兰
macaw,n. long-tailed brilliantly colored parrot of Central America and South America; among the largest and showiest of parrots,"n. 金刚鹦鹉, 芳香核果棕榈"
macaws,plural of macaw\nn. long-tailed brilliantly colored parrot of Central America and South America; among the largest and showiest of parrots,"(macaw 的复数) n. 金刚鹦鹉, 芳香核果棕榈"
macaya,,马卡牙油
macbain,, [人名] 麦克贝恩
Macbal,,二甲威
macbean,, [人名] 麦克比恩
macbeath,, [人名] 麦克贝思
Macbeth,n. king of Scotland (died in 1057),n. 麦克佩斯
MacBinary,,[计] Mac二进制传输协议
macbook,,n. 苹果笔记本电脑
MacBride,,麦克布赖德
Macc,,abbr. 马来西亚反贪污委员会（Malaysian Anti-Corruption Commission）
Macca,,n. (Macca)人名；(意)马卡
Maccabean,"a. Of or pertaining to Judas Maccabeus or to the Maccabees;\n   as, the Maccabean princes; Maccabean times.","a. (犹太游击队领导人) 马加比的, 马加比家族的( 亦作Maccabaean)"
Maccabees,"n. pl. The name given later times to the Asmonaeans, a\n   family of Jewish patriots, who headed a religious revolt in the reign\n   of Antiochus IV., 168-161 B. C., which led to a period of freedom for\n   Israel.\nn. pl. The name of two ancient historical books, which give\n   accounts of Jewish affairs in or about the time of the Maccabean\n   princes, and which are received as canonical books in the Roman\n   Catholic Church, but are included in the Apocrypha by Protestants. Also\n   applied to three books, two of which are found in some MSS. of the\n   Septuagint.",n. <<马卡比书>>
Maccabiah,,n. (犹太人在以色列四年一度举行的模仿奥运会的) 马加比厄运动会(全称为Maccabiah Games)
maccaboy,n. Alt. of Maccoboy,n. 马克巴鼻烟
maccall,, [人名] 麦考尔
maccallum,, [人名] 麦卡勒姆
MacCallum's stain,,[医] 麦卡勒姆氏染剂(染组织中流感杆菌与革兰氏阳性菌)
maccammon,, [人名] 麦卡蒙
maccaroni,,"n. [食]通心面, 纨绔子弟"
maccarthy,, [人名] 麦卡锡
maccessiable,,不能接近的
macchesney,, [人名] 麦克切斯尼
macchia,,马基群落
macchiarola,, [人名] 麦基亚罗拉
macchiato,,n. 黑糖玛奇朵（意大利式浓缩咖啡加少量泡沫牛奶而成的咖啡）
Macchiavello,,马基阿韦洛
Macchiavello's staining,,[医] 马基阿韦洛氏立克次氏体染色法
Macchiavello's staining method,,[医] 马基阿韦洛氏立克次氏体染色法
macchinetta,,n. 滴注式咖啡壶
Macclesfield,,n. 麦克莱斯菲尔德（姓氏）
macclintock,, [人名] 麦克林托克
maccluggage,, [人名] 麦克勒盖奇
maccoboy,n. A kind of snuff.,n. 一种鼻烟
maccoby,, [人名] 麦科比
maccoll,, [人名] 麦科尔
maccone,, [人名] 麦科恩
MacConkey,,麦康基
MacConkey's bile salt agar,,[医] 麦康基氏胆盐琼脂
MacConkey's bile salt broth,,[医] 麦康基氏胆盐肉汤
MacConkey's bile salt culture-medium,,[医] 麦康基氏胆盐培养基
MacConkey's bouillon,,[医] 麦康基氏肉汤(含胆盐及糖)
maccormack,, [人名] 麦科马克
maccorquodale,, [人名] 麦科克代尔
MacCracken,,麦克拉肯(姓氏)
maccrimmon,, [人名] 麦克里蒙
macculloch,, [人名] 麦卡洛克
maccurdy,, [人名] 麦柯迪
macd,,abbr. 平滑异同移动平均线（Moving Average Convergence and Divergence）
macdaniel,, [人名] 麦克丹尼尔
macdermid,, [人名] 麦克德米德
macdermot,, [人名] 麦克德莫特
macdermott,, [人名] 麦克德莫特
MacDiarmid,,n. (MacDiarmid)人名；(英)麦克迪尔米德
MacDonagh's tests,,"[医] 麦克多纳氏试验, 凝胶试验(鉴别梅毒血清)"
macdonald,,n. 麦克唐纳（姓氏）；麦当劳快餐店
Macdonald index,,[医] 麦克糖纳氏指数(脾肿大与同时疟原虫阳性者的比例数)
macDonald's tests,,[医] 麦克唐纳氏试验(检肝机能)
macdonaldite,,莫水硅钙钡石
macdonell,, [人名] 麦克唐奈
MacDonnell,,麦克唐奈(姓氏)
macdonough,, [人名] 麦克多诺
macdougal,, [人名] 麦克杜格尔
MacDougal's theory,,[医] 麦克杜加耳氏学说(生物学)
MacDougall,,n. (MacDougall)人名；(英)麦克杜格尔
macdougallin,,"仙人掌甾醇, 甲(基)胆甾烯二醇"
Macdowel's frenum,,[医] 胸大肌系带
MacDowell,n United States composer best remembered as a composer of works for the piano (1860-1908),麦克道尔(姓氏)
MacDowell's operation,,[医] 麦克道厄耳氏手术(剖腹卵巢囊肿切除术)
Macdownel feed water controller,,[化] 麦克唐纳式给水控制器
Macduff,,麦克达夫
mace,"n. (trademark) a liquid that temporarily disables a person; prepared as an aerosol and sprayed in the face, it irritates the eyes and causes dizziness and immobilization\nn. spice made from the dried fleshy covering of the nutmeg seed\nn. a ceremonial staff carried as a symbol of office or authority","n. 狼牙棒, 权标, 权杖, 执权标者\n[医] 肉豆蔻衣"
mace butter,,[化] 肉豆蔻油
mace camphor,,[医] 肉豆蔻衣脑
mace oil,,[化] 肉豆蔻油\n[医] [压制]肉豆蔻油
mace-bearer,,n. 执权杖者
mace-bearers,plural of mace-bearer,(mace-bearer 的复数) n. 执权杖者
maceachern,, [人名] 麦凯克恩
maceachin,, [人名] 麦凯钦
maceachren,, [人名] 麦凯克伦
macebearer,n. an official who carries a mace of office,持权杖者
maced,,abbr. Macedonia （巴尔于半岛中南部的）马其顿地区; Macedonian 马其顿的; 马其顿人（的）; 马其顿语（的）
macedo,, [人名] 马塞多
macedoine,n mixed diced fruits or vegetables; hot or cold,"杂样水果冻, 混杂物"
macedon,n. the ancient kingdom of Philip II and Alexander the Great in the southeastern Balkans that is now divided among modern Macedonia and Greece and Bulgaria,n. 马其顿王国（古代巴尔干半岛中部一奴隶制国家）
Macedonia,n. landlocked republic on the Balkan Peninsula; achieved independence from Yugoslavia in 1991,n. 马其顿
Macedonian,n. a native or inhabitant of Macedon\nn. the Slavic language of modern Macedonia\na. of or relating to Macedonia or its inhabitants,a. 马其顿的\nn. 马其顿人
Macedonian War,,[网络] 马其顿战争
Macedonians,n. a native or inhabitant of Macedon\nn. the Slavic language of modern Macedonia,n. 马其顿人；马其顿派（Macedonian的复数）
Macedonic,,a. 马其顿的\nn. 马其顿人
Macedonish,,[网络] 马其顿人
macedonite,,"[矿]铅钛矿, 云橄粗安岩"
macene,,肉豆蔻萜烯
maceo,,n. (Maceo)人名；(西)马塞奥；(意)马切奥
macer,n an official who carries a mace of office,(=macebearer)执权杖者
macera,, [医]（拉）浸渍，浸软
maceral,,"煤中矿物组分的细微组织, 煤素质"
macerate,"v. separate into constituents by soaking\nv. become soft or separate and disintegrate as a result of excessive soaking\nv. soften, usually by steeping in liquid, and cause to disintegrate as a result","vi. 浸软, 消瘦\nvt. 把...浸软, 使消瘦"
macerated,imp. & p. p. of Macerate, [医]被浸渍的
macerated foetus,,[医] 浸软胎儿
macerater,"n. One who, or that which, macerates; an apparatus for\n   converting paper or fibrous matter into pulp."," [医]浸渍器, 切碎机"
macerates,"v. separate into constituents by soaking\nv. become soft or separate and disintegrate as a result of excessive soaking\nv. soften, usually by steeping in liquid, and cause to disintegrate as a result",vt. 把…浸软；使…消瘦\nvi. 浸软；消瘦
macerating,"v separate into constituents by soaking\nv become soft or separate and disintegrate as a result of excessive soaking\nv soften, usually by steeping in liquid, and cause to disintegrate as a result\nv cause to grow thin or weak",[化] 浸渍
maceration,n. softening due to soaking or steeping,"n. 浸软, 浸渍, 浸解, 消瘦, 饿瘦\n[化] 浸渍"
maceration extract,,[化] 浸渍液
maceration tank,,[化] 浸渍槽\n[医] 浸渍槽
maceration water,,[化] 浸渍水
macerative,a accompanied by or characterized by maceration,"[医] 浸渍的, 浸软的"
macerator,,[医] 浸渍器
maces,"n. (trademark) a liquid that temporarily disables a person; prepared as an aerosol and sprayed in the face, it irritates the eyes and causes dizziness and immobilization\nn. an official who carries a mace of office\nn. spice made from the dried fleshy covering of the nutmeg seed",n. 钉头槌（mace的复数形式）
macewan,, [人名] 麦克尤恩
Macewen's operation,,[医] 麦丘恩氏手术
Macewen's osteotomy,,"[医] 麦丘恩氏切骨术(股骨髁上楔形切骨,治膝外翻)"
Macewen's triangle,,"[医] 麦丘恩氏三角, 外耳道上三角"
macey,, [人名] 梅西，梅茜（女名）
Macfadyen,,n. (Macfadyen)人名；(英)麦克法迪恩
macfarlan,, [人名] 麦克法伦
macfarland,, [人名] 麦克法兰
Macfarlane,,麦克法兰大衣
macfarquhar,, [人名] 麦克法夸尔
macfee,, [人名] 麦克菲
Macgeea,,马基珊瑚属
macgill,, [人名] 麦吉尔
macgillivray,, [人名] 麦吉利夫雷
macginitie,, [人名] 麦吉尼蒂
macgovernite,,粒砷锰锌矿
macgowan,, [人名] 麦高恩
MacGregor,n. Scottish clan leader and outlaw who was the subject of a 1817 novel by Sir Walter Scott (1671-1734),n. 马基高（高尔夫球品牌）；麦基嘉（芬兰公司名）
macgruber,, [电影]百战天虫
macgruder,, [人名] 麦格鲁德
macguffie,, [人名] 麦古菲
macguffin,, 麦高芬
macguire,, [人名] 麦圭尔
macgyver,,n. (MacGyver)人名；(英)麦吉弗
Mach,n. Austrian physicist and philosopher who introduced the Mach number and who founded logical positivism (1838-1916),"n. 马赫数, 马赫\n[计] 机器检查"
mach angle,,[机] 马赫角
Mach band,,[化] 马赫带
MACH CHK,,"[计] 机器检查, 机器检验"
Mach number,,[化] 马赫数
Mach-Zehnder interferometer,,【光学】马赫—策德尔干涉仪
macha,,玛查（凯尔特神话中的命运与战争的三女神之一）
Machabees,,[复] n.
machaca,,[网络] 恰卡；查卡
Machado,,n. (Machado)人名；(西)马查多；(意)马卡多；(葡)马沙多
Machado-Guerreiro reaction,,[医] 马-格二氏反应(锥虫病补体结合反应)
Machaeridea,,短剑纲
machair,,n. <苏格兰><爱尔兰>[地]沿岸沙质低地
machaira,,n. (古埃及和古希腊时的)双刃弯刀
machairodont,,短剑虎
machairs,plural of machair,(machair 的复数) n.<苏格兰><爱尔兰>[地]沿岸沙质低地
machan,,n. <印英>(猎虎时搭在树上的)狩猎台
machanism,,机构
machar,, 沿岸沙质低地
mache,,n. 马谢
Mache unit,,[医] 马谢氏单位(镭射气浓度单位)
mache-,,n. 【化】马谢\n[网络] 马舍；嚼劲；火柴
machecoling,,[网络] 疯狂
Machel,,n. (Machel)人名；(英)梅切尔；(莫)马谢尔
machen,,n. (Machen)人名；(英)梅琴
macher,n. One who marches.,n. （德）实干的人；做事效率高的人；（自我感觉了不起的）大人物
machera,,n. (古埃及和古希腊时的)双刃弯刀
machet,,n. 大砍刀
machete,n. a large heavy knife used in Central and South America as a weapon or for cutting vegetation,n. 大砍刀\n[化] 马歇特; 丁草胺
machetes,n. a large heavy knife used in Central and South America as a weapon or for cutting vegetation,n. 弯刀；大砍刀；马谢特琴\nn. (Machete)人名；(西)马切特；(葡)马谢特
machi,,n. 麻吉（组合名）；马基
Machiavel,,"a. 马基雅弗利的, 权谋术的\nn. 权谋政治家"
Machiavelli,n. a statesman of Florence who advocated a strong central government (1469-1527),n. 马基雅弗利
machiavellian,n. a follower of Machiavelli's principles\na. of or relating to Machiavelli or the principles of conduct he recommended,"a. 马基雅弗利的, 狡猾的\nn. 权谋政治家"
Machiavellianism,n. the political doctrine of Machiavelli: any means (however unscrupulous) can be used by a ruler in order to create and maintain his autocratic government,n. 马基雅维里主义（等于Machiavellism）；权术主义
Machiavellism,,n. 马基雅弗利主义
machicolate,v. supply with projecting galleries,vt. 开堞眼(枪眼)
machicolated,a. Having machicolations.,v. 开堞眼（枪眼）( machicolate的过去式和过去分词 )
machicolates,v supply with projecting galleries,v. 开堞眼（枪眼）( machicolate的第三人称单数 )
machicolating,v supply with projecting galleries,v. 开堞眼（枪眼）( machicolate的现在分词 )
machicolation,n. a projecting parapet supported by corbels on a medieval castle; has openings through which stones or boiling water could be dropped on an enemy,n. 枪眼
machicolations,plural of machicolation\nn. a projecting parapet supported by corbels on a medieval castle; has openings through which stones or boiling water could be dropped on an enemy,(machicolation 的复数) n. 枪眼
machicolis,,"[军]突堞, 凸堞枪眼"
machicoulis,n. Same as Machicolation.,"n. 堞眼, 枪眼"
Machida,,町田[日本本州岛东南部城市]
Machiguenga,,[网络] 马奇根加；马奇根加部落；马奇昆加
machilid,,[网络] 马斯基里
Machilidae,,[网络] 石蛃科；石蚤科；石蛹科
machin,,"n. 长尾猕猴, 食蟹猴"
machinability,,"n. 机械加工性, 切削性"
machinable,,a. 可机加工的
machinable medium,,[计] 机器可读存储介质
machinable service,,[计] 可用计算机服务
machinal,a. Of or pertaining to machines.,"机械式的, 无意识的, 不由自主的"
machinate,"v arrange by systematic planning and united effort\nv engage in plotting or enter into a conspiracy, swear together","v. 图谋, 策划"
machinated,imp. & p. p. of Machinate,"v. 图谋, 策划( machinate的过去式和过去分词 )"
machinates,"v arrange by systematic planning and united effort\nv engage in plotting or enter into a conspiracy, swear together","v. 图谋, 策划( machinate的第三人称单数 )"
machinating,p. pr. & vb. n. of Machinate,"v. 图谋, 策划( machinate的现在分词 )"
machination,n a crafty and involved plot to achieve your (usually sinister) ends,"n. 阴谋, 图谋, 策划\n[法] 诡计, 奸计, 阴谋"
